gid,osm_id,code,fclass,name,lon,lat
2374,358761254,2082,school,Bailey Flat School,-119.8134935,37.3521649
3392,358773264,2082,school,Raymond Granite Union High School,-119.9062715,37.2085573
5948,358795345,2082,school,Gateway Christian School,-119.6415377,37.3435546
5950,358795350,2082,school,Wasuma School,-119.727656,37.3743866
10526,358834544,2082,school,Ahwahnee Hills Continuation High School,-119.7267451,37.3746179
10527,358834550,2082,school,Oakhurst Elementary School,-119.6457041,37.3296662
10528,358834553,2110,hospital,Sierra Meadows Emergi-Care,-119.6601499,37.3357771
10529,358834561,2082,school,Yosemite High School,-119.6312587,37.328833
10549,358834701,2082,school,Raymond-Knowles Elementary School,-119.9087717,37.2116128
56312,2928147313,2303,cafe,Deli Delicious,-119.6525381,37.3327392
66575,3742206834,2402,motel,Yosemite Sierra Inn,-119.6452116,37.3381875
2313,358760622,2082,school,Adams School,-120.0801628,36.9571689
2332,358760837,2082,school,Alpha School,-120.0829398,36.9160576
2360,358761156,2082,school,Ashview School,-120.4018445,37.0405011
2638,358764785,2082,school,Dixieland Elementary School,-120.2026697,37.0174458
2671,358765142,2082,school,Eastin-Arcola Elementary School,-120.0090471,36.8663348
2928,358767863,2082,school,Howard Elementary School,-120.1568326,36.9521687
3033,358768865,2082,school,La Vina School,-120.1293297,36.8746689
3204,358770968,2082,school,James Monroe Elementary School,-120.05544,36.9835579
3420,358773593,2082,school,Ripperdan Elementary School,-120.0734937,36.851613
3484,358774191,2082,school,Saint Joachim Elementary School,-120.0671068,36.96078
3645,358776097,2082,school,Seventh Day Adventist School,-120.3104534,37.0732781
3834,358778387,2082,school,George Washington Elementary School,-120.0601623,36.9707801
6367,358804163,2110,hospital,Chowchilla District Hospital,-120.2735091,37.1210553
7667,358815579,2082,school,La Vina Elementary School,-120.1109958,36.8799466
10530,358834565,2082,school,Alpha Elementary School,-120.0657095,36.9424007
10531,358834593,2110,hospital,Dearborn Hospital,-120.0551619,36.9652246
10532,358834595,2082,school,Duane E Furman High School West,-120.0807183,36.9521688
10534,358834638,2110,hospital,Madera Community Hospital,-120.0446055,36.9438355
10538,358834651,2082,school,Norman M Gould Education Center,-120.057384,36.9516134
10539,358834658,2082,school,Pershing Elementary School,-120.0515507,36.9660579
10540,358834663,2082,school,Seventh Day Adventist School,-120.0659959,36.9760579
10543,358834679,2110,hospital,Madera County Hospital,-120.036272,36.9552245
10551,358834704,2082,school,Berenda Elementary School,-120.154057,37.0371681
10552,358834707,2110,hospital,Chowchilla Convalescent Hospital,-120.2726758,37.1224442
17784,401977306,2402,motel,Motel 6,-120.1340836,37.0186939
17787,401982882,2303,cafe,Subway,-120.1348936,37.0196513
29921,1257628948,2303,cafe,Subway,-120.0250004,36.92299
37407,1716843389,2402,motel,Casa Grande Motel,-120.0274748,36.9288653
56282,2926137869,2303,cafe,Sno White,-120.0538737,36.9653895
56284,2926139206,2501,supermarket,Rancho San Miguel Market,-120.0439339,36.9719907
56320,2928265182,2303,cafe,Yum Yum Donuts,-120.0611549,36.9612033
56321,2928267046,2303,cafe,Subway,-120.0742719,36.9531168
56603,2951614153,2501,supermarket,Super Save,-120.0581264,36.9752393
56609,2951627839,2402,motel,Hampton Inn & Sweets,-120.105044,36.9952722
77131,4312183091,2303,cafe,Starbucks,-120.0860797,36.9813626
94606,5315601386,2501,supermarket,Walmart,-120.08061,36.975625
3842,358778499,2082,school,Webster School,-119.857373,36.8807814
3673,358776428,2082,school,Spring Valley School,-119.6995915,37.1210594
10555,358834779,2110,hospital,Valley Childrens Hospital,-119.7941635,36.8958987
10556,358834782,2082,school,Webster Elementary School,-119.8898755,36.931059
56317,2928184902,2402,motel,Black Lodge,-119.7321585,37.150463
61924,3385110563,2082,school,Rivergold Elementary School,-119.7811008,37.2081417
