idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
5114,-119.5060383,37.22750294,0.409090909,0.746835443,0.488973536,0.363636364,0.318181818,0.590909091,0.181818182,0.409090909,0.272727273,0.181818182,0.607594937,0.835443038,0.1202531646,0.116710504714
5113,-119.5150672,37.2275401,0.409090909,0.746835443,0.0,0.363636364,0.318181818,0.590909091,0.181818182,0.409090909,0.272727273,0.181818182,0.607594937,0.835443038,0.1202531646,0.116710504714
6177,-119.6409247,37.34313577,0.590909091,0.898734177,0.66840417,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.17721519,0.64556962,0.13363060985,0.122332730529
6115,-119.6500008,37.33596603,0.590909091,0.898734177,0.642141139,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.17721519,0.64556962,0.13363060985,0.122332730529
6114,-119.6590427,37.33599225,0.590909091,0.898734177,0.642141139,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.17721519,0.64556962,0.13363060985,0.122332730529
6464,-119.722177,37.3793365,0.590909091,0.189873418,0.559141941,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.265822785,0.708860759,0.11147871115,0.103345388786
6463,-119.7312242,37.37935725,0.590909091,0.189873418,0.605653569,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.265822785,0.708860759,0.11147871115,0.103345388786
6405,-119.7222036,37.37213987,0.590909091,0.189873418,0.647955092,0.454545455,0.181818182,0.045454545,0.136363636,0.136363636,0.590909091,0.136363636,0.265822785,0.708860759,0.11147871115,0.103345388786
6053,-119.6500342,37.32876937,0.363636364,0.848101266,0.0,0.409090909,0.227272727,0.318181818,0.045454545,0.0,0.090909091,0.318181818,0.493670886,0.683544304,0.0900172612,0.0868979121857
5454,-119.7135673,37.26416801,0.772727273,0.607594937,0.488973536,0.5,0.363636364,0.636363636,0.0,0.045454545,0.409090909,0.0,0.151898734,0.860759494,0.1074798619,0.107710011514
