idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
2791,-121.4849604,38.535453,0.167721519,0.684268427,0.808386838,0.901898734,0.316455696,0.930379747,0.879746835,0.319620253,0.85443038,0.689873418,0.523076923,0.250549451,0.191146173,0.177401963829
2388,-121.5023149,38.48485465,0.512658228,0.693069307,0.866422552,0.610759494,0.408227848,0.803797468,0.89556962,0.857594937,0.550632911,0.477848101,0.405494505,0.576923077,0.19519062055,0.184801725386
3112,-121.4030933,38.57961594,0.430379747,0.083608361,0.89255618,0.876582278,0.860759494,0.265822785,0.566455696,0.060126582,0.727848101,0.936708861,0.678021978,0.568131868,0.22900086165,0.233176145443
3373,-121.4129708,38.61548994,0.686708861,0.665566557,0.324087079,0.936708861,0.174050633,0.71835443,0.825949367,0.537974684,0.993670886,0.243670886,0.384615385,0.367032967,0.2144462578,0.191270390957
3471,-121.5052303,38.62877469,0.863924051,0.711771177,0.96584069,0.544303797,0.806962025,0.310126582,0.952531646,0.768987342,0.60443038,0.96835443,0.953846154,0.850549451,0.20051893625,0.206457460714
3888,-121.3497705,38.68099058,0.471518987,0.258525853,0.829353933,0.569620253,0.784810127,0.705696203,0.784810127,0.60443038,0.544303797,0.370253165,0.3,0.547252747,0.14290221345,0.156122331257
3436,-121.3303268,38.62362327,0.889240506,0.688668867,0.399026886,0.588607595,0.57278481,0.639240506,0.329113924,0.373417722,0.810126582,0.756329114,0.536263736,0.3,0.1832132612,0.1815878586
3777,-121.2850846,38.6672978,0.066455696,0.524752475,0.407353531,0.734177215,0.465189873,0.556962025,0.113924051,0.661392405,0.525316456,0.424050633,0.332967033,0.332967033,0.11169228645,0.115672954371
3842,-121.2299826,38.67506702,0.610759494,0.752475248,0.468047753,0.651898734,0.164556962,0.740506329,0.164556962,0.075949367,0.227848101,0.373417722,0.33956044,0.924175824,0.14531268895,0.131606174614
3852,-121.1379363,38.67596576,0.085443038,0.907590759,0.450943018,0.863924051,0.971518987,0.034810127,0.053797468,0.401898734,0.193037975,0.212025316,0.030769231,0.048351648,0.08296826405,0.112752182914
2491,-121.0984508,38.49639394,0.96835443,0.445544554,0.255969101,0.183544304,0.047468354,0.262658228,0.098101266,0.344936709,0.636075949,0.063291139,0.232967033,0.964835165,0.11720438235,0.102495257186
3122,-121.3111675,38.58064611,0.601265823,0.95049505,0.26850923,0.642405063,0.566455696,0.892405063,0.563291139,0.848101266,0.588607595,0.588607595,0.063736264,0.391208791,0.1822153601,0.180461267057
1851,-121.372455,38.41442284,0.879746835,0.944994499,0.334570626,0.658227848,0.370253165,0.958860759,0.613924051,0.094936709,0.319620253,0.496835443,0.549450549,0.715384615,0.1809586864,0.170975438271
2228,-121.4009198,38.46447886,0.417721519,0.448844884,0.6035313,0.680379747,0.594936709,0.376582278,0.753164557,0.898734177,0.655063291,0.560126582,0.261538462,0.440659341,0.16750597955,0.169073841429
544,-121.305345,38.24962847,0.03164557,0.897689769,0.0,0.693037975,0.75,0.607594937,0.933544304,0.582278481,0.683544304,0.515822785,0.183516484,0.613186813,0.22157177055,0.222061517614
1791,-121.4181778,38.40669735,0.892405063,0.757975798,0.0,0.294303797,0.325949367,0.085443038,0.357594937,0.787974684,0.224683544,0.493670886,0.035164835,0.917582418,0.13111345125,0.1263522168
