N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment,composite_cost_adjustment,dropoff_cost_adjustment,dropbox_cost_adjustment
2,6.07e+13,60670002002,6067000200,3057,-121.4397233,38.57198824,6,67,200,2005,6.07e+13,Block 2005,G5040,U,77068.0,U,S,133251,0,38.5718764,-121.4382299,6.07e+13,6.07e+13,6.07e+13,60670002002,60670002002,60670002002,0.062736035,0.064866425,0.096359979,1.0,1.0,1.0,0.223962438,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.589010989,0.107594937,0.563736264,0.938393839,0.320024077,0.075406454,0.081862151,POINT (-121.4397233 38.57198824),2.0,2.0,2.0,
16,6.07e+13,60670013003,6067001300,3053,-121.4764889,38.57154551,6,67,1300,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,8311,0,38.5718332,-121.476788,6.07e+13,6.07e+13,6.07e+13,60670013003,60670013003,60670014003,0.120528094,0.204953475,0.197295717,1.0,1.0,1.0,0.522777286,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.868131868,0.560126582,0.737362637,0.902090209,0.990720305,0.205064543,0.238672138,POINT (-121.4764889 38.57154551),0.5,0.5,0.5,
51,6.07e+13,60670026001,6067002600,2949,-121.4762026,38.55715343,6,67,2600,1001,6.07e+13,Block 1001,G5040,U,77068.0,U,S,17230,0,38.5560666,-121.4767014,6.07e+13,6.07e+13,6.07e+13,60670019002,60670019002,60670026001,0.016672036,0.033863113,0.037522255,1.0,1.0,1.0,0.088057404,0.363924051,0.196202532,0.338607595,0.147435897,0.025316456,0.481012658,0.234177215,0.46835443,0.664556962,0.985714286,0.113924051,0.763736264,0.98789879,0.916282103,0.123102657,0.1299381,POINT (-121.4762026 38.55715343),1.25,1.25,1.25,
107,6.07e+13,60670040052,6067004005,2562,-121.5303011,38.50609705,6,67,4005,2012,6.07e+13,Block 2012,G5040,U,77068.0,U,S,20506,0,38.5066825,-121.5291382,6.07e+13,6.07e+13,6.07e+13,60670040052,60670040053,60670040052,0.016490306,0.021241988,0.115269475,1.0,1.0,1.0,0.153001768,0.189873418,0.620253165,0.835443038,,0.563291139,0.525316456,0.265822785,0.224683544,0.699367089,0.289010989,0.151898734,0.876923077,0.674367437,0.544793339,0.15571665,0.164830574,POINT (-121.5303011 38.50609705),1.0,1.0,1.25,
117,6.07e+13,60670040103,6067004010,2385,-121.5298566,38.48450941,6,67,4010,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,110729,0,38.4846047,-121.5267158,6.07e+13,6.07e+13,6.07e+13,60670040103,60670040103,60670040111,0.081805842,0.129534327,0.203552777,1.0,1.0,1.0,0.414892946,0.129746835,0.753164557,0.743670886,0.051282051,0.319620253,0.275316456,0.319620253,0.981012658,0.727848101,0.70989011,0.484177215,0.458241758,0.789878988,0.666131621,0.117304632,0.146355265,POINT (-121.5298566 38.48450941),1.25,1.25,1.25,
129,6.07e+13,60670042023,6067004202,2390,-121.4839537,38.48508133,6,67,4202,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,29335,0,38.4854222,-121.4834016,6.07e+13,6.07e+13,6.07e+13,60670042023,60670042023,60670042023,0.192608937,0.203464031,0.21954862,1.0,1.0,1.0,0.615621588,0.898734177,0.594936709,0.791139241,0.208333333,0.905063291,0.879746835,0.64556962,0.53164557,0.813291139,0.949450549,0.658227848,0.381318681,0.724972497,0.287971509,0.218638615,0.258132285,POINT (-121.4839537 38.48508133),0.5,0.5,0.5,
150,6.07e+13,60670046015,6067004601,2631,-121.4386074,38.51441979,6,67,4601,5000,6.07e+13,Block 5000,G5040,U,77068.0,U,S,77943,0,38.5147772,-121.4398799,6.07e+13,6.07e+13,6.07e+13,60670046015,60670046015,60670046014,0.071810789,0.139483163,0.163104503,1.0,1.0,1.0,0.374398455,0.867088608,0.844936709,0.632911392,0.064102564,0.870253165,0.829113924,0.971518987,0.594936709,0.882911392,0.506593407,0.965189873,0.524175824,0.95269527,0.0,0.246956879,0.304868271,POINT (-121.4386074 38.51441979),0.5,0.5,0.5,
152,6.07e+13,60670046021,6067004602,2684,-121.4571172,38.521396,6,67,4602,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,19241,0,38.5212765,-121.4568404,6.07e+13,6.07e+13,6.07e+13,60670046021,60670046021,60670046021,0.12015595,0.121439323,0.140345508,1.0,1.0,1.0,0.38194078,0.971518987,0.259493671,0.430379747,0.016025641,0.351265823,0.990506329,0.889240506,0.693037975,0.82278481,0.638461538,0.819620253,0.31978022,0.661166117,0.908557384,0.201275421,0.250452636,POINT (-121.4571172 38.521396),0.5,0.5,0.5,
174,6.07e+13,60670049053,6067004905,2336,-121.4470908,38.47833035,6,67,4905,3010,6.07e+13,Block 3010,G5040,U,77068.0,U,S,44251,0,38.4771025,-121.4474585,6.07e+13,6.07e+13,6.07e+13,60670049053,60670049053,60670049053,0.291740968,0.290704055,0.249287062,1.0,1.0,1.0,0.831732086,0.905063291,0.661392405,0.629746835,0.429487179,0.715189873,0.958860759,0.506329114,0.82278481,0.952531646,0.978021978,0.591772152,0.435164835,0.589658966,0.865569823,0.210856726,0.246363055,POINT (-121.4470908 38.47833035),0.5,0.5,0.5,
179,6.07e+13,60670050013,6067005001,2398,-121.4105077,38.48596015,6,67,5001,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,57703,0,38.4859324,-121.4105234,6.07e+13,6.07e+13,6.07e+13,60670050013,60670050012,60670050013,0.148193973,0.154213463,0.213454468,1.0,1.0,1.0,0.515861904,0.889240506,0.958860759,0.825949367,0.887820513,0.813291139,0.971518987,0.82278481,0.851265823,0.487341772,0.58021978,0.92721519,0.73956044,0.295929593,0.820074238,0.22513312,0.280766031,POINT (-121.4105077 38.48596015),0.5,0.5,0.5,
197,6.07e+13,60670052022,6067005202,3011,-121.3844399,38.56543523,6,67,5202,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,200309,24126,38.5641639,-121.3875574,6.07e+13,6.07e+13,6.07e+13,60670052022,60670052022,60670091051,0.183108594,0.184327151,0.210701474,0.25,1.0,1.0,0.578137219,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.336263736,0.664556962,0.602197802,0.108910891,0.317014446,0.177587564,0.217460982,POINT (-121.3844399 38.56543523),0.75,0.75,0.75,
