idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
3057,-121.4397233,38.57198824,0.490506329,0.938393839,0.320024077,0.335443038,0.107594937,0.310126582,0.306962025,0.03164557,0.041139241,0.009493671,0.589010989,0.563736264,0.075406454,0.081862151
3153,-121.4859684,38.5858252,0.452531646,0.915291529,0.698384831,0.971518987,0.857594937,0.053797468,0.699367089,0.534810127,0.810126582,0.958860759,0.738461538,0.705494505,0.248722075,0.300177772
3053,-121.4764889,38.57154551,0.373417722,0.902090209,0.990720305,0.857594937,0.560126582,0.433544304,0.370253165,0.306962025,0.57278481,0.879746835,0.868131868,0.737362637,0.205064543,0.238672138
2900,-121.4393046,38.55039999,0.879746835,0.99669967,0.450943018,0.905063291,0.550632911,0.164556962,0.107594937,0.215189873,0.737341772,0.943037975,0.09010989,0.105494505,0.167911949,0.200949923
2897,-121.4668709,38.55006909,0.75,0.429042904,0.694121188,0.794303797,0.46835443,0.825949367,0.313291139,0.246835443,0.525316456,0.091772152,0.689010989,0.083516484,0.108492002,0.136593267
2946,-121.5037712,38.55681413,0.382911392,0.572057206,0.493780096,0.962025316,0.227848101,0.965189873,0.825949367,0.503164557,0.974683544,0.262658228,0.645054945,0.408791209,0.20604646,0.219717346
2743,-121.420514,38.52902889,0.240506329,0.0110011,0.748796148,0.477848101,0.629746835,0.867088608,0.990506329,0.351265823,0.332278481,0.873417722,0.723076923,0.134065934,0.168486994,0.206271804
2678,-121.5122277,38.52071982,0.626582278,0.550055006,0.709420144,0.705696203,0.183544304,0.886075949,0.617088608,0.449367089,0.306962025,0.408227848,0.718681319,0.814285714,0.171135624,0.182148282
2791,-121.4849604,38.535453,0.167721519,0.684268427,0.808386838,0.901898734,0.316455696,0.930379747,0.876582278,0.28164557,0.844936709,0.689873418,0.523076923,0.250549451,0.213830435,0.232817777
2567,-121.484385,38.50666913,0.693037975,0.837183718,0.836777689,0.607594937,0.598101266,0.715189873,0.879746835,0.715189873,0.537974684,0.613924051,0.876923077,0.795604396,0.206090694,0.24197677
2562,-121.5303011,38.50609705,0.620253165,0.674367437,0.544793339,0.699367089,0.151898734,0.224683544,0.189873418,0.525316456,0.265822785,0.563291139,0.289010989,0.876923077,0.15571665,0.164830574
2385,-121.5298566,38.48450941,0.753164557,0.789878988,0.666131621,0.727848101,0.484177215,0.981012658,0.129746835,0.275316456,0.319620253,0.319620253,0.70989011,0.458241758,0.117304632,0.146355265
2388,-121.5023149,38.48485465,0.512658228,0.693069307,0.866422552,0.610759494,0.408227848,0.800632911,0.892405063,0.851265823,0.544303797,0.471518987,0.405494505,0.576923077,0.185754625,0.210248296
