gid,osm_id,code,fclass,name,lon,lat
9837,358830590,2110,hospital,Seton Coastside Hospital,-122.5076153,37.5266064
9892,358831037,2082,school,Alvin S Hatch Elementary School,-122.4359684,37.4627472
9894,358831062,2082,school,Half Moon Bay High School,-122.4280171,37.4734833
18710,430366107,2405,hostel,Point Montara Lighthouse Hostel,-122.518833,37.536639
19060,443809742,2303,cafe,Here Comes The Sun Coffee House,-122.5162294,37.5412256
19251,452312096,2303,cafe,Starbucks,-122.4349377,37.4700883
23894,760442275,2303,cafe,La Di Da,-122.4303636,37.4635359
24960,842553220,2303,cafe,Peet’s Coffee & Tea,-122.4326428,37.4689762
25043,851513335,2303,cafe,Montara Bakery,-122.5157574,37.5419594
46942,2312378423,2303,cafe,Dunkin' Donuts,-122.4328316,37.468444
62973,3484612045,2082,school,Sea Crest School,-122.4271002,37.4565331
70096,3956130158,2303,cafe,Nano's Yougurt Shack,-122.4291847,37.463147
70099,3956130163,2303,cafe,Cafe Society,-122.4294914,37.4632329
71165,4008802791,2501,supermarket,Trader Joe's,-122.4822883,37.7001684
77508,4334921489,2303,cafe,Starbucks,-122.4209541,37.6387565
82322,4582002125,2303,cafe,Garden Deli Cafe,-122.4292166,37.4648453
82326,4582002129,2303,cafe,Fish N Fries,-122.4295534,37.4653357
83038,4618031443,2402,motel,El Camino Inn,-122.4648659,37.6874679
83973,4641873700,2012,community_centre,New Leaf Community Classroom,-122.4324479,37.4689657
83975,4641873703,2303,cafe,Sam’s Coffee Shop,-122.4301118,37.4685879
89425,4978574611,2501,supermarket,Grocery Outlet,-122.5063502,37.5946793
94454,5314002499,2303,cafe,Broaster Foods,-122.4822703,37.7010894
3752,358777530,2082,school,Tunitas School,-122.3921959,37.3807751
20178,515627029,2082,school,Kings Mountain School,-122.3232129,37.4193018
27816,1125838586,2402,motel,Half Moon Bay Lodge,-122.4281379,37.4333548
39828,1830474569,2303,cafe,The Bike Hut,-122.3857364,37.3679172
56743,2960460668,2303,cafe,Downtown Local,-122.3831618,37.2522874
76945,4303593032,2303,cafe,San Gregorio General Store,-122.3868579,37.3270468
3883,358779033,2082,school,Willow Oaks Elementary School,-122.1573861,37.4626343
13439,358857628,2082,school,East Palo Alto High School,-122.1566777,37.4616972
21073,571998301,2303,cafe,Cafe Zoe,-122.1527285,37.4592332
