N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
3,3045,,-121.4375943,38.57480266,0.004357366,0.024807227,0.052707781,1.0,1.0,1.0,0.081872374,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.871428571,0.107594937,0.406139909,0.481848185,0.581861958,0.326389238,0.335303461,0.406139909,0.132559696
19,3042,,-121.4653075,38.57447048,0.077148683,0.102948121,0.127863831,0.5,1.0,1.0,0.307960636,0.110759494,0.231012658,0.212025316,0.794871795,0.585443038,0.32278481,0.655063291,0.768987342,0.990506329,0.225274725,0.446202532,0.209864117,0.98019802,0.332714687,0.519899412,0.503285685,0.3,0.155969824
20,3041,,-121.4745452,38.57435835,0.085222447,0.101345505,0.106433717,1.0,1.0,1.0,0.293001669,0.110759494,0.231012658,0.212025316,0.794871795,0.585443038,0.32278481,0.655063291,0.768987342,0.990506329,0.179120879,0.446202532,0.287367891,0.836083608,0.299458266,0.49901646,0.482457269,0.3,0.149704938
22,2990,,-121.4651647,38.56723844,0.085713794,0.186338672,0.174197326,0.25,0.25,0.25,0.446249793,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.371428571,0.132911392,0.29894313,0.895489549,0.67867175,0.456706889,0.448616459,0.3,0.137012067
32,2888,,-121.4464092,38.55299646,0.158114497,0.154846733,0.170897586,0.25,0.25,0.25,0.483858815,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.09010989,0.550632911,0.135883241,0.99669967,0.544793339,0.518740882,0.488747128,0.3,0.155622265
33,2887,,-121.4556443,38.55288577,0.081467767,0.103150611,0.109950671,1.0,1.0,1.0,0.29456905,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.09010989,0.550632911,0.135883241,0.99669967,0.0,0.453510444,0.411789077,0.3,0.136053133
49,2829,,-121.5109067,38.54497486,0.137440526,0.15589669,0.188910487,1.0,1.0,1.0,0.482247703,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.636263736,0.227848101,0.305485657,0.308030803,0.0,0.516727086,0.519823733,0.305485657,0.157852713
51,2883,,-121.4925841,38.55243595,0.230572873,0.230439113,0.244339443,1.0,1.0,1.0,0.705351428,0.25,0.360759494,0.379746835,0.028846154,0.053797468,0.034810127,0.050632911,0.082278481,0.35443038,0.29010989,0.041139241,0.464519376,0.151815182,0.700140449,0.295136133,0.30690928,0.464519376,0.137096452
53,2935,,-121.4927295,38.55966794,0.112007345,0.122753391,0.115573392,1.0,1.0,1.0,0.350334129,0.25,0.360759494,0.379746835,0.028846154,0.053797468,0.034810127,0.050632911,0.082278481,0.35443038,0.131868132,0.041139241,0.238550579,0.745874587,0.746789727,0.301416961,0.299767656,0.3,0.090425088
56,2830,,-121.5016727,38.54508977,0.066726442,0.076225466,0.100212517,1.0,1.0,1.0,0.243164425,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.323076923,0.015822785,0.3905385,0.850385039,0.0,0.317408452,0.314672793,0.3905385,0.123960221
58,2778,,-121.5015264,38.53785781,0.105608136,0.116994414,0.095472731,1.0,1.0,1.0,0.318075281,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.323076923,0.015822785,0.3905385,0.850385039,0.0,0.301397764,0.302692276,0.3905385,0.117707431
70,2837,,-121.4370342,38.54587441,0.066989301,0.096656023,0.102896462,1.0,0.25,0.25,0.266541785,0.829113924,0.772151899,0.392405063,0.810897436,0.174050633,0.487341772,0.389240506,0.091772152,0.620253165,0.664835165,0.262658228,0.297433317,0.256325633,0.329604735,0.41480752,0.41005648,0.3,0.124442256
77,2733,,-121.4275219,38.5315196,0.027614343,0.074236531,0.091101282,1.0,1.0,0.25,0.192952156,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.805494505,0.629746835,0.122294917,0.795379538,0.287971509,0.53282164,0.527496664,0.3,0.159846492
100,2672,,-121.4827714,38.52362156,0.078758753,0.103948994,0.161254495,1.0,1.0,1.0,0.343962242,0.71835443,0.167721519,0.712025316,0.307692308,0.161392405,0.85443038,0.408227848,0.727848101,0.496835443,0.941758242,0.265822785,0.261197786,0.401540154,0.450943018,0.527864265,0.549000257,0.3,0.158359279
128,2612,,-121.5287788,38.51581529,0.120477069,0.185558494,0.226351752,1.0,1.0,1.0,0.532387315,0.351265823,0.753164557,0.702531646,0.044871795,0.310126582,0.272151899,0.373417722,0.107594937,0.424050633,0.820879121,0.5,0.299949673,0.238723872,0.592044543,0.416086909,0.421838028,0.3,0.124826073
129,2497,,-121.5192527,38.50146778,0.049662759,0.065640875,0.063084242,1.0,1.0,1.0,0.178387876,0.351265823,0.753164557,0.702531646,0.044871795,0.310126582,0.272151899,0.373417722,0.107594937,0.424050633,0.243956044,0.5,0.400603926,0.075907591,0.535664125,0.364219064,0.349714209,0.400603926,0.145907587
237,2893,,-121.4002337,38.55353937,0.183590358,0.187634846,0.191204741,0.25,0.25,0.25,0.562429945,0.414556962,0.639240506,0.398734177,0.407051282,0.332278481,0.265822785,0.256329114,0.367088608,0.78164557,0.563736264,0.14556962,0.316054353,0.0,0.449488363,0.408359435,0.415613484,0.316054353,0.129063777
243,2895,,-121.3817633,38.5537516,0.035549824,0.048018185,0.130842504,0.25,0.25,0.25,0.214410513,0.414556962,0.639240506,0.398734177,0.407051282,0.332278481,0.265822785,0.256329114,0.367088608,0.78164557,0.950549451,0.14556962,0.331152491,0.146314631,0.615569823,0.43571423,0.445097633,0.331152491,0.144287853
244,2737,,-121.3905921,38.53194956,0.021285944,0.081390223,0.202535832,1.0,1.0,1.0,0.305211999,0.591772152,0.079113924,0.759493671,0.291666667,0.990506329,0.341772152,0.873417722,0.566455696,0.886075949,0.013186813,0.82278481,0.09159537,0.99229923,0.0,0.488621583,0.452194349,0.3,0.146586475
247,2841,,-121.4000973,38.54630728,0.176386218,0.199391516,0.328047374,0.25,0.25,0.25,0.703825108,0.591772152,0.079113924,0.759493671,0.291666667,0.990506329,0.341772152,0.873417722,0.566455696,0.886075949,0.013186813,0.82278481,0.09159537,0.99229923,0.0,0.523689581,0.493674619,0.3,0.157106874
