"","dropoff_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score","quadrant"
"495",495,60670099001075,60670099001,6067009900,-121.513514457143,38.2300319708333,6,67,9900,1075,60670099001075,"Block 1075","G5040","R",NA,NA,"S",162807,0,38.2286229,-121.5118754,60670099001075,60670099001070,60670099003042,60670099001,60670099001,60670099003,16.0853408395661,16.1068054636911,16.0900971877864,1,1,1,0,0.949367088607595,0.313291139240506,0.882911392405063,0.348101265822785,0.60126582278481,0.768987341772152,0.335443037974684,0.655063291139241,0.0316455696202531,0.00769230769230766,0.854430379746835,0.0813953488372093,0.74037403740374,0.243529293739968,0.155168069344353,0.155168069344353,0.434133891529633,0.41633879497954,0.3,0.13024016745889,1
"433",433,60670095032011,60670095032,6067009503,-121.301266,38.2596450666667,6,67,9503,2011,60670095032011,"Block 2011","G5040","U",32451,"C","S",46344,0,38.2584148,-121.3012121,60670095032011,60670095032005,60670095032004,60670095032,60670095032,60670095032,14.7454951527246,14.7487731147091,14.6192793389058,1,1,1,0,0.939873417721519,0.132911392405063,0.145569620253165,0.0632911392405063,0.825949367088608,0.787974683544304,0.477848101265823,0.908227848101266,0.778481012658228,0.769230769230769,0.829113924050633,0.137596899224806,0.0836083608360836,0.531651284109149,0.279292445698735,0.279292445698735,0.570133025586872,0.571400834856342,0.3,0.171039907676061,2
"432",432,60670095022014,60670095022,6067009502,-121.320561314286,38.2596450666667,6,67,9502,2014,60670095022014,"Block 2014","G5040","U",32451,"C","S",43585,0,38.2593828,-121.3196033,60670095022016,60670095022014,60670095022015,60670095022,60670095022,60670095022,14.198020147874,14.3787860240829,14.3776100820073,1,1,1,0,0.914556962025316,0.949367088607595,0.00316455696202532,0.136075949367089,0.905063291139241,0.256329113924051,0.462025316455696,0.677215189873418,0.212025316455696,0.687912087912088,0.70253164556962,0.874031007751938,0.286028602860286,0.568268459069021,0.375094491760319,0.375094491760319,0.534175736788837,0.519390779757468,0.874031007751938,0.466886157542181,2
"430",430,60670095021000,60670095021,6067009502,-121.320561314286,38.2892581625,6,67,9502,1000,60670095021000,"Block 1000","G5040","R",NA,NA,"S",408701,0,38.2874453,-121.3229204,60670095021000,60670095021005,60670095033001,60670095021,60670095021,60670095033,12.4538275820097,12.4561350497771,12.3194201390673,1,1,1,0,0.914556962025316,0.949367088607595,0.00316455696202532,0.136075949367089,0.905063291139241,0.256329113924051,0.462025316455696,0.677215189873418,0.212025316455696,0.0813186813186814,0.70253164556962,0.451550387596899,0.865786578657866,0.258727929373997,0.0430378470997329,0.0430378470997329,0.475524194322205,0.443258719324687,0.451550387596899,0.214723134257895,2
"431",431,60670095021006,60670095021,6067009502,-121.320561314286,38.2744516145833,6,67,9502,1006,60670095021006,"Block 1006","G5040","R",NA,NA,"S",330688,0,38.2753323,-121.3210877,60670095021006,60670095021009,60670095021008,60670095021,60670095021,60670095021,13.4117378306249,13.2524338010997,13.4121789129559,1,1,1,0,0.914556962025316,0.949367088607595,0.00316455696202532,0.136075949367089,0.905063291139241,0.256329113924051,0.462025316455696,0.677215189873418,0.212025316455696,0.0813186813186814,0.70253164556962,0.451550387596899,0.865786578657866,0.248093900481541,0.0474726603840145,0.0474726603840145,0.474954797625282,0.442472492265709,0.451550387596899,0.214466022958703,2
"80",80,60670068003003,60670068003,6067006800,-121.455628514286,38.6150022166667,6,67,6800,3003,60670068003003,"Block 3003","G5040","U",77068,"U","S",20723,0,38.6158518,-121.4552079,60670068003003,60670068003004,60670068003008,60670068003,60670068003,60670068003,0.0662075248935349,0.0796997341470968,0.13694632466291,1,1,1,0.282853583703542,0.990506329113924,0.768987341772152,0.481012658227848,0.762658227848101,0.924050632911392,0.89873417721519,0.965189873417722,0.968354430379747,0.949367088607595,0.926373626373626,0.977848101265823,0.122093023255814,0.0616061606160616,0.713633627608347,0.46268205412488,0.46268205412488,0.763201425109598,0.760259793392392,0.3,0.22896042753288,3
"81",81,60670069005024,60670069005,6067006900,-121.455628514286,38.60019566875,6,67,6900,5024,60670069005024,"Block 5024","G5040","U",77068,"U","S",15102,0,38.6001426,-121.4527757,60670069005022,60670069005031,60670069005028,60670069005,60670069005,60670069005,0.417269427864652,0.428401685108208,0.433758282981608,1,1,1,1.27942939595447,0.819620253164557,0.522151898734177,0.449367088607595,0.582278481012658,0.386075949367089,0.781645569620253,0.816455696202532,0.933544303797468,0.95253164556962,0.818681318681319,0.613924050632911,0.468992248062016,0.979097909790979,0,0.917250415763745,0.917250415763745,0.754162798599537,0.756774297506952,0.468992248062016,0.353696506319938,3
"74",74,60670063003003,60670063003,6067006300,-121.4363332,38.6150022166667,6,67,6300,3003,60670063003003,"Block 3003","G5040","U",77068,"U","S",234149,0,38.6145724,-121.4355575,60670063003003,60670063003004,60670063003006,60670063003,60670063003,60670063003,0.305648246808892,0.3088850704182,0.502542038887023,1,1,1,0.460899987920319,0.95253164556962,0.550632911392405,0.268987341772152,0.515822784810127,0.841772151898734,0.854430379746835,0.892405063291139,0.854430379746835,0.879746835443038,0.9,0.943037974683544,0.131782945736434,0.856985698569857,0.335824638844302,0.16645668497707,0.16645668497707,0.729566065160048,0.720781598989917,0.3,0.218869819548014,3
"77",77,60670066001009,60670066001,6067006600,-121.4363332,38.6298087645833,6,67,6600,1009,60670066001009,"Block 1009","G5040","U",77068,"U","S",61296,0,38.6295415,-121.4370526,60670066001009,60670066001006,60670066001008,60670066001,60670066001,60670066001,0.247173195185218,0.260605740570577,0.276740448271888,1,1,1,0.784519384027682,0.870253164556962,0.705696202531646,0.604430379746835,0.689873417721519,0.632911392405063,0.664556962025316,0.870253164556962,0.901898734177215,0.981012658227848,0.950549450549451,0.889240506329114,0.211240310077519,0.295929592959296,0.462881219903692,0.210200070553848,0.210200070553848,0.713965015164727,0.717409122075882,0.3,0.214189504549418,3
"437",437,60670096013014,60670096013,6067009601,-121.455628514286,38.4669367375,6,67,9601,3014,60670096013014,"Block 3014","G5040","U",77068,"U","S",25593,0,38.467564,-121.4545504,60670096013012,60670096013013,60670096013014,60670096013,60670096013,60670096013,0.509745557488128,0.438558702629278,0.439849984876588,1,1,1,0.6588065156294,0.848101265822785,0.734177215189873,0.924050632911392,0.20253164556962,0.753164556962025,0.882911392405063,0.664556962025316,0.768987341772152,0.291139240506329,0.878021978021978,0.477848101265823,0.724806201550388,0.363036303630363,0.885834670947031,0.557576979287406,0.557576979287406,0.680206965962318,0.700556228920682,0.724806201550388,0.493018227267261,3
