N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
16,3039,,-121.4930204,38.57413196,0.070155891,0.091170567,0.108206129,1.0,1.0,0.75,0.269532588,0.259493671,0.436708861,0.07278481,0.644230769,0.392405063,0.617088608,0.601265823,0.829113924,0.987341772,0.387912088,0.443037975,0.614997484,0.96589659,0.0,0.534958184,0.520447211,0.614997484,0.328997937,0.75
17,2989,,-121.4744015,38.56712631,0.05774626,0.070251746,0.115299531,1.0,1.0,1.0,0.243297537,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.99010989,0.560126582,0.548565677,0.9669967,0.938653692,0.63945927,0.632574245,0.548565677,0.350785408,0.5
25,2993,,-121.4374543,38.56757058,0.141416864,0.164523725,0.19331035,1.0,1.0,1.0,0.49925094,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.771428571,0.167721519,0.641670861,0.784378438,0.607744783,0.403103475,0.405270702,0.641670861,0.258659753,0.75
29,2939,,-121.4557861,38.56011781,0.04927447,0.113593252,0.120072791,1.0,1.0,0.25,0.282940514,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.715384615,0.550632911,0.758429794,0.381738174,0.0,0.509724332,0.477595813,0.758429794,0.38659012,0.5
55,2831,,-121.4924387,38.54520397,0.098102283,0.101111569,0.122219797,1.0,1.0,1.0,0.321433649,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.369230769,0.015822785,0.79265224,0.701870187,0.619231541,0.386175948,0.394984998,0.79265224,0.30610323,0.75
76,2734,,-121.4182895,38.53162814,0.027111199,0.073172277,0.075630584,0.25,0.25,0.25,0.17591406,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.723076923,0.629746835,0.189733266,0.0110011,0.888292536,0.562456758,0.566992495,0.3,0.168737027,1.25
94,2614,,-121.5103182,38.51604713,0.113342072,0.121801676,0.218005422,1.0,1.0,1.0,0.453149171,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.718681319,0.183544304,0.724710619,0.550055006,0.444422151,0.511727322,0.525791245,0.724710619,0.370854224,0.5
119,2382,,-121.5097302,38.48711957,0.198121105,0.228933461,0.243676079,1.0,1.0,1.0,0.670730644,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.104395604,0.123417722,0.594363362,0.654565457,0.555527689,0.52100361,0.519000036,0.594363362,0.309665457,0.75
122,2494,,-121.5469381,38.50111693,0.104017551,0.10719329,0.092545148,1.0,1.0,0.5,0.303755989,0.335443038,0.943037975,0.794303797,,0.306962025,0.408227848,0.025316456,0.243670886,0.234177215,0.145054945,0.120253165,0.784096628,0.168316832,0.447933387,0.303814284,0.306527277,0.784096628,0.238219755,1.0
127,2496,,-121.5284812,38.50135154,0.307386057,0.299835843,0.331777991,1.0,1.0,1.0,0.938999891,0.189873418,0.620253165,0.835443038,,0.563291139,0.525316456,0.265822785,0.224683544,0.699367089,0.352747253,0.151898734,0.631102164,0.465346535,0.383025682,0.445688792,0.454066345,0.631102164,0.281275161,0.75
157,2444,,-121.4729663,38.49480654,0.071569882,0.102049511,0.113839375,1.0,1.0,1.0,0.287458769,0.851265823,0.481012658,0.746835443,0.233974359,0.810126582,0.873417722,0.917721519,0.563291139,0.838607595,0.874725275,0.936708861,0.52994464,0.500550055,0.285864767,0.65313275,0.639862626,0.52994464,0.3461242,0.5
