N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
20,3041,,-121.4745452,38.57435835,0.085222447,0.101345505,0.106433717,1.0,1.0,1.0,0.293001669,0.110759494,0.231012658,0.212025316,0.794871795,0.585443038,0.32278481,0.655063291,0.768987342,0.990506329,0.179120879,0.446202532,0.287367891,0.836083608,0.299458266,0.49901646,0.482457269,0.3,0.149704938,0.8
24,2992,,-121.4466911,38.56746057,0.081274744,0.098886547,0.156679179,1.0,1.0,1.0,0.336840471,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.417582418,0.167721519,0.779567187,0.589658966,0.40625,0.32873798,0.320761794,0.779567187,0.256273342,1.2
54,2882,,-121.501819,38.55232174,0.152129583,0.164223984,0.148145285,1.0,1.0,1.0,0.464498852,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.221978022,0.015822785,0.786612984,0.529152915,0.615569823,0.361993471,0.373612746,0.786612984,0.284748765,1.0
64,2833,,-121.4739707,38.54543027,0.109313922,0.110441046,0.120241081,1.0,1.0,1.0,0.339996049,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.930769231,0.734177215,0.320583795,0.729372937,0.0,0.644366468,0.628900457,0.320583795,0.206573447,0.4
70,2837,,-121.4370342,38.54587441,0.066989301,0.096656023,0.102896462,1.0,0.25,0.25,0.266541785,0.829113924,0.772151899,0.392405063,0.810897436,0.174050633,0.487341772,0.389240506,0.091772152,0.620253165,0.664835165,0.262658228,0.297433317,0.256325633,0.329604735,0.41480752,0.41005648,0.3,0.124442256,1.0
84,2678,,-121.4273829,38.52428757,0.033923412,0.054633969,0.07568908,1.0,1.0,1.0,0.164246461,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.475824176,0.993670886,0.281831907,0.447744774,0.581861958,0.655956887,0.645472687,0.3,0.196787066,0.4
92,2669,,-121.5104653,38.52327905,0.064611448,0.080451912,0.130601279,1.0,1.0,1.0,0.275664639,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.350549451,0.044303797,0.81680926,0.529152915,0.27242175,0.258458076,0.262626265,0.81680926,0.21111095,1.2
114,2555,,-121.5194006,38.50869967,0.231922097,0.230221707,0.248812567,1.0,1.0,1.0,0.710956371,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.621978022,0.123417722,0.477101158,0.075907591,0.43062801,0.482352322,0.496904764,0.477101158,0.230130851,0.8
119,2382,,-121.5097302,38.48711957,0.198121105,0.228933461,0.243676079,1.0,1.0,1.0,0.670730644,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.104395604,0.123417722,0.594363362,0.654565457,0.555527689,0.52100361,0.519000036,0.594363362,0.309665457,6.0
122,2494,,-121.5469381,38.50111693,0.104017551,0.10719329,0.092545148,1.0,1.0,0.5,0.303755989,0.335443038,0.943037975,0.794303797,,0.306962025,0.408227848,0.025316456,0.243670886,0.234177215,0.145054945,0.120253165,0.784096628,0.168316832,0.447933387,0.303814284,0.306527277,0.784096628,0.238219755,1.2
135,2379,,-121.5374104,38.48677089,0.08913285,0.120980069,0.126986843,1.0,1.0,1.0,0.337099762,0.405063291,0.715189873,0.898734177,0.038461538,0.465189873,0.560126582,0.126582278,0.670886076,0.401898734,0.374725275,0.237341772,0.524911928,0.141914191,0.504614767,0.431555684,0.441424085,0.524911928,0.226528726,0.8
