N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
15,3040,,-121.4837828,38.57424551,0.070037351,0.081079283,0.086910171,1.0,1.0,1.0,0.238026804,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.404395604,0.78164557,0.462506291,0.97469747,0.409911717,0.57301694,0.554488376,0.462506291,0.26502394,0.75
24,2992,,-121.4466911,38.56746057,0.081274744,0.098886547,0.156679179,1.0,1.0,1.0,0.336840471,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.417582418,0.167721519,0.779567187,0.589658966,0.40625,0.32873798,0.320761794,0.779567187,0.256273342,0.75
54,2882,,-121.501819,38.55232174,0.152129583,0.164223984,0.148145285,1.0,1.0,1.0,0.464498852,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.221978022,0.015822785,0.786612984,0.529152915,0.615569823,0.361993471,0.373612746,0.786612984,0.284748765,0.75
74,2785,,-121.4368942,38.53864237,0.077774022,0.087056198,0.101151573,0.25,0.25,0.25,0.265981793,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.673626374,0.439873418,0.611474585,0.301430143,0.39065008,0.614843078,0.61100128,0.611474585,0.375960916,0.5
94,2614,,-121.5103182,38.51604713,0.113342072,0.121801676,0.218005422,1.0,1.0,1.0,0.453149171,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.718681319,0.183544304,0.724710619,0.550055006,0.444422151,0.511727322,0.525791245,0.724710619,0.370854224,0.5
104,2781,,-121.4738271,38.53819827,0.064785725,0.084523364,0.130996786,1.0,1.0,1.0,0.280305875,0.96835443,0.215189873,0.686708861,0.907051282,0.632911392,0.775316456,0.936708861,0.911392405,0.765822785,0.915384615,0.772151899,0.616507297,0.415841584,0.0,0.653941588,0.642220623,0.616507297,0.403159761,0.5
119,2382,,-121.5097302,38.48711957,0.198121105,0.228933461,0.243676079,1.0,1.0,1.0,0.670730644,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.104395604,0.123417722,0.594363362,0.654565457,0.555527689,0.52100361,0.519000036,0.594363362,0.309665457,0.75
123,2495,,-121.5377097,38.50123458,0.06446308,0.075739196,0.18697844,1.0,1.0,1.0,0.327180716,0.335443038,0.943037975,0.794303797,,0.306962025,0.408227848,0.025316456,0.243670886,0.234177215,0.43956044,0.120253165,0.883744338,0.612761276,0.813904494,0.388542043,0.399186394,0.883744338,0.34337183,0.5
157,2444,,-121.4729663,38.49480654,0.071569882,0.102049511,0.113839375,1.0,1.0,1.0,0.287458769,0.851265823,0.481012658,0.746835443,0.233974359,0.810126582,0.873417722,0.917721519,0.563291139,0.838607595,0.874725275,0.936708861,0.52994464,0.500550055,0.285864767,0.65313275,0.639862626,0.52994464,0.3461242,0.5
162,2326,,-121.4911315,38.48011661,0.088618746,0.097150106,0.166795655,1.0,1.0,0.25,0.352564507,0.724683544,0.965189873,0.917721519,0.221153846,0.708860759,0.905063291,0.721518987,0.78164557,0.386075949,0.840659341,0.705696203,0.597382989,0.381738174,0.880367175,0.688639653,0.697050149,0.597382989,0.411381615,0.5
191,2562,,-121.454794,38.50949378,0.103431975,0.129778905,0.151427824,1.0,1.0,1.0,0.384638704,0.920886076,0.297468354,0.78164557,0.105769231,0.857594937,0.984177215,0.870253165,0.487341772,0.892405063,0.959340659,0.607594937,0.679919477,0.594059406,0.640048154,0.663057908,0.667434273,0.679919477,0.450825986,0.5
202,2447,,-121.4452829,38.49514047,0.228640593,0.291460554,0.413760335,1.0,1.0,1.0,0.933861482,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.865934066,0.553797468,0.634121792,0.754675468,0.0,0.610925956,0.613361373,0.634121792,0.387401462,0.5
213,2392,,-121.4174613,38.48823608,0.159476576,0.179597663,0.230127589,1.0,1.0,1.0,0.569201828,0.889240506,0.958860759,0.825949367,0.887820513,0.813291139,0.971518987,0.82278481,0.851265823,0.487341772,0.712087912,0.92721519,0.548062406,0.357535754,0.903741974,0.756730477,0.761025707,0.548062406,0.414735526,0.5
