N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
567,4147,,-121.4681687,38.71911397,0.421673993,0.431527645,0.650317126,1.0,1.0,1.0,0.639901229,0.123417722,0.405063291,0.696202532,0.173076923,0.265822785,0.433544304,0.420886076,0.411392405,0.088607595,0.858241758,0.32278481,0.726220433,0.370737074,0.255969101,0.368088509,0.389106008,0.726220433,0.267313396
570,4094,,-121.4680254,38.71188167,0.327426855,0.33383021,0.345891776,1.0,1.0,1.0,1.007148842,0.123417722,0.405063291,0.696202532,0.173076923,0.265822785,0.433544304,0.420886076,0.411392405,0.088607595,0.858241758,0.32278481,0.726220433,0.370737074,0.262941413,0.396796918,0.42436099,0.726220433,0.28816203
589,3984,,-121.4492328,38.69763965,0.050812021,0.053697379,0.104815852,1.0,1.0,1.0,0.209325252,0.626582278,0.430379747,0.069620253,0.416666667,0.221518987,0.284810127,0.563291139,0.987341772,0.199367089,0.942857143,0.870253165,0.738298943,0.561056106,0.685443419,0.548069274,0.554718624,0.738298943,0.404638966
884,4070,,-121.1809984,38.70778167,0.768166308,1.069059187,1.365529903,1.0,1.0,1.0,0.0,0.03164557,0.89556962,0.148734177,0.605769231,0.224683544,0.022151899,0.07278481,0.193037975,0.272151899,0.03956044,0.208860759,0.747861097,0.138613861,0.367425762,0.212190199,0.200341394,0.747861097,0.158688795
1037,2484,,-121.1038352,38.49873803,6.900060715,6.919955398,7.353512796,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.141758242,0.047468354,0.424257675,0.790979098,0.236556982,0.297776036,0.288561145,0.424257675,0.126333769
1039,2426,,-121.1037278,38.49150572,7.20669443,7.109050274,7.644435105,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.141758242,0.047468354,0.424257675,0.790979098,0.27242175,0.304184468,0.295139861,0.424257675,0.129052595
1047,2544,,-121.0854834,38.50613737,7.477646891,7.726719611,7.962115202,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.182417582,0.047468354,0.990941117,0.180418042,0.369733146,0.280076228,0.277781857,0.990941117,0.27753905
1048,2485,,-121.0946065,38.49882189,7.309302714,7.390566871,7.772799833,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.182417582,0.047468354,0.990941117,0.180418042,0.317967496,0.272519106,0.26976739,0.990941117,0.270050388
1130,2859,,-121.2338763,38.54811571,0.194589524,0.21729097,0.557460166,0.75,1.0,0.75,0.30891037,0.300632911,0.151898734,0.89556962,0.025641026,0.167721519,0.610759494,0.905063291,0.006329114,0.079113924,0.375824176,0.496835443,0.612984399,0.210121012,0.29203451,0.306761784,0.30640817,0.612984399,0.188040188
1166,2913,,-121.2155252,38.55553485,0.148680579,0.431434146,0.866833118,0.75,1.0,0.75,0.435086044,0.338607595,0.784810127,0.787974684,0.782051282,0.199367089,0.455696203,0.158227848,0.117088608,0.034810127,0.047252747,0.379746835,0.798188223,0.99779978,0.0,0.350012967,0.330881914,0.798188223,0.279376228
1425,1699,,-121.2590049,38.39595542,9.085635916,9.616411411,9.974531375,1.0,0.75,0.75,0.0,0.655063291,0.056962025,0.306962025,0.358974359,0.474683544,0.547468354,0.10443038,0.348101266,0.202531646,0.079120879,0.126582278,0.694011072,0.731573157,0.24608748,0.27345423,0.271016623,0.694011072,0.189780263
1457,880,,-121.2480905,38.29480328,14.29330695,14.33471309,14.06358522,1.0,1.0,1.0,0.0,0.655063291,0.056962025,0.306962025,0.358974359,0.474683544,0.547468354,0.10443038,0.348101266,0.202531646,0.079120879,0.126582278,0.694011072,0.731573157,0.249799358,0.273410784,0.271079138,0.694011072,0.189750111
1464,1753,,-121.2591273,38.40318746,8.593211703,9.127695869,9.478142789,1.0,0.75,0.75,0.0,0.262658228,0.841772152,0.151898734,0.833333333,0.215189873,0.085443038,0.316455696,0.636075949,0.085443038,0.708791209,0.056962025,0.669854051,0.248624862,0.251404494,0.289487549,0.298254691,0.669854051,0.193914408
1466,1808,,-121.2500321,38.41051522,8.020488083,8.538272803,8.928496693,1.0,0.75,0.75,0.0,0.262658228,0.841772152,0.151898734,0.833333333,0.215189873,0.085443038,0.316455696,0.636075949,0.085443038,0.708791209,0.056962025,0.669854051,0.248624862,0.260232745,0.288880554,0.297962668,0.669854051,0.193507809
