GEOID,AmInd_flag
6067000100,1
6067000200,1
6067000300,1
6067000400,1
6067000500,1
6067000600,1
6067000700,1
6067000800,1
6067001101,1
6067001200,1
6067001300,1
6067001400,1
6067001500,1
6067001600,1
6067001700,1
6067001800,1
6067001900,1
6067002000,1
6067002100,1
6067002200,1
6067002300,1
6067002400,1
6067002500,1
6067002600,1
6067002700,1
6067002800,1
6067002900,1
6067003000,1
6067003101,1
6067003102,1
6067003202,1
6067003203,1
6067003204,1
6067003300,1
6067003400,1
6067003501,1
6067003502,1
6067003600,1
6067003700,1
6067003800,1
6067003900,1
6067004001,1
6067004004,1
6067004005,1
6067004006,1
6067004008,1
6067004009,1
6067004010,1
6067004011,1
6067004012,1
6067004100,1
6067004201,1
6067004202,1
6067004203,1
6067004300,1
6067004401,1
6067004402,1
6067004501,1
6067004502,1
6067004601,1
6067004602,1
6067004701,1
6067004702,1
6067004801,1
6067004802,1
6067004903,1
6067004904,1
6067004905,1
6067004906,1
6067005001,1
6067005002,1
6067005101,1
6067005102,1
6067005201,1
6067005202,1
6067005204,1
6067005205,1
6067005301,1
6067005402,1
6067005403,1
6067005404,1
6067005502,1
6067005505,1
6067005506,1
6067005508,1
6067005509,1
6067005510,1
6067005601,1
6067005605,1
6067005606,1
6067005701,1
6067005702,1
6067005801,1
6067005803,1
6067005804,1
6067005901,1
6067005903,1
6067005904,1
6067006002,1
6067006003,1
6067006004,1
6067006101,1
6067006102,1
6067006201,1
6067006202,0
6067006300,1
6067006400,1
6067006500,1
6067006600,1
6067006701,1
6067006702,1
6067006800,1
6067006900,1
6067007001,1
6067007004,1
6067007007,1
6067007010,1
6067007011,1
6067007012,1
6067007013,1
6067007014,1
6067007015,1
6067007016,1
6067007017,1
6067007018,1
6067007019,1
6067007020,1
6067007101,1
6067007102,1
6067007103,1
6067007104,1
6067007105,1
6067007106,1
6067007107,1
6067007202,1
6067007204,1
6067007206,1
6067007207,1
6067007208,1
6067007209,1
6067007301,1
6067007402,1
6067007403,1
6067007406,1
6067007413,1
6067007414,1
6067007415,1
6067007416,1
6067007417,1
6067007421,1
6067007422,1
6067007423,1
6067007424,1
6067007426,1
6067007427,1
6067007428,1
6067007429,1
6067007430,1
6067007431,1
6067007432,1
6067007433,1
6067007501,1
6067007503,1
6067007504,1
6067007601,1
6067007602,1
6067007701,1
6067007702,1
6067007801,1
6067007802,1
6067007903,1
6067007904,1
6067007905,1
6067007906,1
6067008005,1
6067008006,1
6067008007,1
6067008008,1
6067008009,1
6067008010,1
6067008111,1
6067008113,1
6067008117,1
6067008119,1
6067008120,1
6067008122,1
6067008124,1
6067008125,1
6067008127,1
6067008128,1
6067008129,1
6067008130,1
6067008131,1
6067008132,1
6067008133,1
6067008134,1
6067008135,1
6067008136,1
6067008137,1
6067008138,1
6067008139,1
6067008140,1
6067008141,1
6067008142,1
6067008143,1
6067008144,1
6067008145,1
6067008203,1
6067008204,1
6067008206,1
6067008207,1
6067008208,1
6067008209,1
6067008210,1
6067008211,1
6067008402,1
6067008403,1
6067008404,1
6067008501,1
6067008504,1
6067008505,1
6067008506,1
6067008507,1
6067008508,1
6067008509,1
6067008510,1
6067008512,1
6067008513,1
6067008600,1
6067008702,1
6067008703,1
6067008704,1
6067008705,1
6067008801,1
6067008905,1
6067008907,1
6067008908,1
6067008909,1
6067008910,1
6067008911,1
6067008912,1
6067008913,1
6067009004,1
6067009005,1
6067009006,1
6067009007,1
6067009008,1
6067009010,1
6067009011,1
6067009103,1
6067009105,1
6067009106,1
6067009107,1
6067009108,1
6067009109,1
6067009110,1
6067009111,1
6067009112,1
6067009201,1
6067009307,1
6067009308,1
6067009309,1
6067009310,1
6067009311,1
6067009312,1
6067009314,1
6067009316,1
6067009317,1
6067009318,1
6067009319,1
6067009320,1
6067009321,1
6067009322,1
6067009323,1
6067009324,1
6067009325,1
6067009326,1
6067009328,1
6067009329,1
6067009330,1
6067009331,1
6067009332,1
6067009403,1
6067009404,1
6067009406,1
6067009407,1
6067009408,1
6067009501,1
6067009502,1
6067009503,1
6067009504,1
6067009601,1
6067009606,1
6067009608,1
6067009609,1
6067009610,1
6067009611,1
6067009612,1
6067009614,1
6067009615,1
6067009616,1
6067009617,1
6067009618,1
6067009619,1
6067009622,1
6067009630,1
6067009632,1
6067009633,1
6067009634,1
6067009635,1
6067009636,1
6067009637,1
6067009638,1
6067009639,1
6067009800,1
6067009900,1
6067988300,1
