GEOID,count_Tracts_in_Pool
6067000100,8.0
6067000200,6.0
6067000300,7.0
6067000400,7.0
6067000500,6.0
6067000600,5.0
6067000700,7.0
6067000800,6.0
6067001101,12.0
6067001200,7.0
6067001300,8.0
6067001400,8.0
6067001500,10.0
6067001600,7.0
6067001700,8.0
6067001800,8.0
6067001900,9.0
6067002000,9.0
6067002100,8.0
6067002200,8.0
6067002300,8.0
6067002400,8.0
6067002500,8.0
6067002600,6.0
6067002700,8.0
6067002800,9.0
6067002900,7.0
6067003000,7.0
6067003101,7.0
6067003102,7.0
6067003202,9.0
6067003203,5.0
6067003204,7.0
6067003300,8.0
6067003400,5.0
6067003501,6.0
6067003502,7.0
6067003600,8.0
6067003700,8.0
6067003800,8.0
6067003900,9.0
6067004001,10.0
6067004004,5.0
6067004005,5.0
6067004006,7.0
6067004008,5.0
6067004009,8.0
6067004010,6.0
6067004011,4.0
6067004012,10.0
6067004100,8.0
6067004201,5.0
6067004202,6.0
6067004203,7.0
6067004300,10.0
6067004401,9.0
6067004402,6.0
6067004501,8.0
6067004502,10.0
6067004601,7.0
6067004602,8.0
6067004701,8.0
6067004702,7.0
6067004801,8.0
6067004802,7.0
6067004903,8.0
6067004904,7.0
6067004905,8.0
6067004906,8.0
6067005001,7.0
6067005002,11.0
6067005101,8.0
6067005102,6.0
6067005201,10.0
6067005202,9.0
6067005204,8.0
6067005205,12.0
6067005301,13.0
6067005402,11.0
6067005403,7.0
6067005404,10.0
6067005502,8.0
6067005505,8.0
6067005506,9.0
6067005508,7.0
6067005509,5.0
6067005510,6.0
6067005601,9.0
6067005605,8.0
6067005606,7.0
6067005701,9.0
6067005702,8.0
6067005801,10.0
6067005803,9.0
6067005804,6.0
6067005901,7.0
6067005903,5.0
6067005904,9.0
6067006002,8.0
6067006003,6.0
6067006004,6.0
6067006101,8.0
6067006102,7.0
6067006201,8.0
6067006202,
6067006300,9.0
6067006400,7.0
6067006500,7.0
6067006600,6.0
6067006701,6.0
6067006702,6.0
6067006800,6.0
6067006900,9.0
6067007001,10.0
6067007004,7.0
6067007007,9.0
6067007010,9.0
6067007011,8.0
6067007012,5.0
6067007013,5.0
6067007014,5.0
6067007015,6.0
6067007016,4.0
6067007017,9.0
6067007018,9.0
6067007019,9.0
6067007020,4.0
6067007101,9.0
6067007102,7.0
