GEOID,incounty_jobsum
6067000100,201
6067000200,1807
6067000300,316
6067000400,1034
6067000500,1480
6067000600,3451
6067000700,3504
6067000800,7705
6067001101,35725
6067001200,3466
6067001300,3202
6067001400,4439
6067001500,3426
6067001600,2048
6067001700,10745
6067001800,680
6067001900,1270
6067002000,3602
6067002100,2169
6067002200,833
6067002300,519
6067002400,2198
6067002500,52
6067002600,4450
6067002700,658
6067002800,204
6067002900,386
6067003000,299
6067003101,583
6067003102,363
6067003202,886
6067003203,143
6067003204,282
6067003300,2057
6067003400,829
6067003501,654
6067003502,479
6067003600,620
6067003700,490
6067003800,876
6067003900,298
6067004001,501
6067004004,295
6067004005,405
6067004006,250
6067004008,82
6067004009,523
6067004010,2470
6067004011,143
6067004012,194
6067004100,772
6067004201,348
6067004202,513
6067004203,355
6067004300,634
6067004401,743
6067004402,314
6067004501,496
6067004502,1935
6067004601,2313
6067004602,344
6067004701,1059
6067004702,364
6067004801,809
6067004802,271
6067004903,550
6067004904,477
6067004905,538
6067004906,86
6067005001,692
6067005002,1378
6067005101,1362
6067005102,825
6067005201,4739
6067005202,31
6067005204,2464
6067005205,5721
6067005301,3173
6067005402,6680
6067005403,1454
6067005404,2801
6067005502,5023
6067005505,1924
6067005506,2390
6067005508,1689
6067005509,255
6067005510,249
6067005601,6466
6067005605,1253
6067005606,887
6067005701,645
6067005702,411
6067005801,600
6067005803,595
6067005804,214
6067005901,1294
6067005903,277
6067005904,665
6067006002,1749
6067006003,877
6067006004,122
6067006101,959
6067006102,551
6067006201,1195
6067006202,709
6067006300,786
6067006400,981
6067006500,465
6067006600,299
6067006701,1429
6067006702,1063
6067006800,493
6067006900,4160
6067007001,1398
6067007004,695
6067007007,687
6067007010,3709
6067007011,1115
6067007012,204
6067007013,34
6067007014,366
6067007015,456
6067007016,342
6067007017,311
6067007018,2450
6067007019,6533
6067007020,90
6067007101,1036
6067007102,149
6067007103,747
6067007104,189
6067007105,182
6067007106,952
6067007107,84
6067007202,557
6067007204,1407
6067007206,196
6067007207,178
6067007208,253
6067007209,270
6067007301,4573
6067007402,623
6067007403,503
6067007406,688
6067007413,1669
6067007414,189
6067007415,162
6067007416,103
6067007417,450
6067007421,591
6067007422,550
6067007423,441
6067007424,422
6067007426,25
6067007427,415
6067007428,104
6067007429,317
6067007430,429
6067007431,193
6067007432,91
6067007433,485
6067007501,2134
6067007503,848
6067007504,2572
6067007601,972
6067007602,3087
6067007701,685
6067007702,1398
6067007801,1088
6067007802,1251
6067007903,553
6067007904,291
6067007905,251
6067007906,420
6067008005,214
6067008006,578
6067008007,535
6067008008,543
6067008009,673
6067008010,733
6067008111,217
6067008113,335
6067008117,691
6067008119,430
6067008120,686
6067008122,274
6067008124,374
6067008125,225
6067008127,233
6067008128,115
6067008129,519
6067008130,574
6067008131,972
6067008132,54
6067008133,492
6067008134,1712
6067008135,203
6067008136,851
6067008137,299
6067008138,1511
6067008139,1013
6067008140,262
6067008141,972
6067008142,517
6067008143,272
6067008144,129
6067008145,136
6067008203,505
6067008204,722
6067008206,621
6067008207,294
6067008208,567
6067008209,424
6067008210,221
6067008211,423
6067008402,748
6067008403,1421
6067008404,1746
6067008501,235
6067008504,7110
6067008505,127
6067008506,1485
6067008507,1923
6067008508,850
6067008509,188
6067008510,387
6067008512,120
6067008513,488
6067008600,722
6067008702,166
6067008703,5134
6067008704,70
6067008705,10235
6067008801,3056
6067008905,642
6067008907,469
6067008908,897
6067008909,125
6067008910,302
6067008911,141
6067008912,189
6067008913,416
6067009004,451
6067009005,2318
6067009006,2131
6067009007,915
6067009008,599
6067009010,12834
6067009011,742
6067009103,373
6067009105,131
6067009106,532
6067009107,4884
6067009108,237
6067009109,71
6067009110,2428
6067009111,427
6067009112,567
6067009201,8777
6067009307,545
6067009308,2458
6067009309,1271
6067009310,1636
6067009311,265
6067009312,488
6067009314,477
6067009316,238
6067009317,370
6067009318,767
6067009319,735
6067009320,473
6067009321,112
6067009322,881
6067009323,1001
6067009324,413
6067009325,535
6067009326,108
6067009328,221
6067009329,507
6067009330,90
6067009331,229
6067009332,178
6067009403,302
6067009404,367
6067009406,172
6067009407,592
6067009408,72
6067009501,93
6067009502,810
6067009503,491
6067009504,821
6067009601,297
6067009606,4497
6067009608,1174
6067009609,79
6067009610,430
6067009611,2393
6067009612,668
6067009614,129
6067009615,925
6067009616,524
6067009617,348
6067009618,1415
6067009619,432
6067009622,432
6067009630,375
6067009632,467
6067009633,62
6067009634,545
6067009635,319
6067009636,267
6067009637,379
6067009638,1525
6067009639,1925
6067009800,123
6067009900,707
6067988300,1643
