basename,cleanname,description
prc_caraccess_final,Percent of Population with Vehicle Access,"Percent of Population with Vehicle Access,The percentage of the population with access to a vehicle."
cvapdens,Density of Voting Age Citizens,The rate of citizens in this area who are voting age&#44 relative to the county's total number of voting age citizens.
prcdisabled_final,Percent Disabled Population,"Percent Disabled Population,The percentage of the population that is disabled."
tot_elignonreg_prc_final,Eligible Non-Registered Voter Rate,"Eligible Non-Registered Voter Rate,The percentage of voting age citizens who are not registered to vote."
job_dens,Worker Density,The density of employed county residents.
prc_poplatino_final,Percent Latino Population,"Percent Latino Population,The percentage of the population that is Hispanic or Latino."
prc_nonengprof_final,Percent Limited English Proficient Population,"Percent Limited English Proficient Population,The percenetage of the population that has limited English proficiency."
pollvoter_dens,Density of Polling Place Voters,"Density of Polling Place Voters,The density of voters who vote at a polling placerelative to the county's total number of polling place voters."
popdens,Population Density,"Population Density,The total population density."
prc_pov_final,Percent of the Population in Poverty,"Percent of the Population in Poverty,The percentage of the population with income below the poverty level."
vbm_rate_asn,Vote by Mail Rate (Asian),"Vote by Mail Rate (Asian),The percentage of Asian American voters who voted by mail."
vbm_rate_lat,Vote by Mail Rate (Latino),The percentage of Latino voters who voted by mail.
vbm_rate_tot,Vote by Mail Rate (Total),The percentage of voters who voted by mail.
vbm_rate_youth,Vote by Mail Rate (Youth),The percentage of the population between the age of 18 and 24 years old.
prc_youth_final,Percent of the Youth Population,"Percent of the Youth Population,The percentage of the population between the age of 18 and 24 years old."
