N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment
9,6.07e+13,60670005001,6067000500,3153,-121.4859684,38.5858252,6,67,500,1017,6.07e+13,Block 1017,G5040,U,77068.0,U,S,7884,0,38.585833,-121.4855737,6.07e+13,6.07e+13,6.07e+13,60670005001,60670005001,60670005001,0.107562328,0.133011894,0.171583459,1.0,1.0,1.0,0.41215768,0.699367089,0.452531646,0.066455696,0.951923077,0.958860759,0.534810127,0.810126582,0.053797468,0.971518987,0.738461538,0.857594937,0.705494505,0.915291529,0.698384831,0.248722075,0.300177772,POINT (-121.4859684 38.5858252),0.5
14,6.07e+13,60670011011,6067001101,3051,-121.4948715,38.57131997,6,67,1101,1098,6.07e+13,Block 1098,G5040,U,77068.0,U,S,7803,0,38.5712182,-121.4951731,6.07e+13,6.07e+13,6.07e+13,60670011011,60670011011,60670021002,0.061926647,0.060270008,0.107476856,1.0,1.0,1.0,0.22967351,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.559340659,0.78164557,0.327472527,1.0,0.0,0.169458478,0.216357212,POINT (-121.4948715 38.57131997),0.75
18,6.07e+13,60670015002,6067001500,3003,-121.4579648,38.5645722,6,67,1500,2006,6.07e+13,Block 2006,G5040,U,77068.0,U,S,13648,0,38.564265,-121.4582471,6.07e+13,6.07e+13,6.07e+13,60670015002,60670015002,60670015002,0.063659899,0.088479318,0.179194264,0.25,0.25,0.25,0.331333481,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.531868132,0.132911392,0.71978022,0.336633663,0.518007624,0.133946307,0.14192099,POINT (-121.4579648 38.5645722),1.25
246,6.07e+13,60670056011,6067005601,3321,-121.3944417,38.60850684,6,67,5601,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,28806,0,38.607836,-121.3938988,6.07e+13,6.07e+13,6.07e+13,60670056011,60670056011,60670056011,0.153446607,0.185055791,0.188523168,1.0,1.0,1.0,0.527025566,0.094936709,0.746835443,0.221518987,0.75,0.208860759,0.180379747,0.841772152,0.60443038,0.933544304,0.576923077,0.727848101,0.350549451,0.848184818,0.428972713,0.145779802,0.189450689,POINT (-121.3944417 38.60850684),1.0
257,6.07e+13,60670057011,6067005701,3269,-121.3667209,38.60162502,6,67,5701,1024,6.07e+13,Block 1024,G5040,U,77068.0,U,S,17632,0,38.6014889,-121.367063,6.07e+13,6.07e+13,6.07e+13,60670057011,60670057011,60670057011,0.411315633,0.415533935,0.426341683,0.25,0.25,0.25,1.253191251,0.291139241,0.246835443,0.278481013,0.310897436,0.389240506,0.199367089,0.101265823,0.658227848,0.405063291,0.47032967,0.03164557,0.78021978,0.424642464,0.354384029,0.118015718,0.119914453,POINT (-121.3667209 38.60162502),1.25
345,6.07e+13,60670070073,6067007007,3474,-121.477635,38.62911432,6,67,7007,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,107138,0,38.6285286,-121.4781982,6.07e+13,6.07e+13,6.07e+13,60670070073,60670070043,60670070043,0.032861483,0.06385024,0.08476282,1.0,1.0,1.0,0.181474543,0.974683544,0.534810127,0.436708861,0.698717949,0.541139241,0.92721519,0.746835443,0.287974684,0.623417722,0.873626374,0.60443038,0.721978022,0.459845985,0.236556982,0.216483238,0.252749061,POINT (-121.477635 38.62911432),0.5
415,6.07e+13,60670072082,6067007208,3935,-121.4603716,38.68690701,6,67,7208,2015,6.07e+13,Block 2015,G5040,U,77068.0,U,S,23031,0,38.6870733,-121.4603512,6.07e+13,6.07e+13,6.07e+13,60670072082,60670072082,60670072082,0.061957276,0.088334775,0.101370692,1.0,1.0,1.0,0.251662743,0.715189873,0.515822785,0.21835443,0.294871795,0.746835443,0.234177215,0.411392405,0.161392405,0.382911392,0.849450549,0.696202532,0.854945055,0.424642464,0.865569823,0.18667645,0.228448602,POINT (-121.4603716 38.68690701),0.75
432,6.07e+13,60670074022,6067007402,3885,-121.3773856,38.68068005,6,67,7402,2011,6.07e+13,Block 2011,G5040,U,77068.0,U,S,27890,0,38.6806806,-121.3772197,6.07e+13,6.07e+13,6.07e+13,60670074022,60670074022,60670074022,0.127260781,0.126870066,0.140352963,1.0,1.0,1.0,0.394483809,0.810126582,0.775316456,0.319620253,0.490384615,0.123417722,0.705696203,0.670886076,0.655063291,0.32278481,0.98021978,0.632911392,0.824175824,0.165016502,0.640048154,0.165083461,0.203058144,POINT (-121.3773856 38.68068005),0.75
710,6.07e+13,60670087021,6067008702,3499,-121.2476648,38.63170024,6,67,8702,1008,6.07e+13,Block 1008,G5040,U,77068.0,U,S,1255346,0,38.6317675,-121.2450415,6.07e+13,6.07e+13,6.07e+13,60670087022,60670087022,60670087021,1.022867799,1.152701458,1.211171007,1.0,1.0,1.0,0.0,0.0,0.284810127,0.455696203,0.083333333,0.018987342,0.335443038,0.772151899,0.056962025,0.060126582,0.01978022,0.012658228,0.765934066,0.441144114,0.299458266,0.097031993,0.097791487,POINT (-121.2476648 38.63170024),2.0
861,6.07e+13,60670093232,6067009323,2016,-121.4003775,38.43569499,6,67,9323,2016,6.07e+13,Block 2016,G5040,U,77068.0,U,S,33718,0,38.4366646,-121.4004481,6.07e+13,6.07e+13,6.07e+13,60670093232,60670096392,60670093232,1.463914689,1.473943321,1.378993288,1.0,1.0,1.0,0.0,0.310126582,0.724683544,0.841772152,0.461538462,0.148734177,0.310126582,0.037974684,0.253164557,0.050632911,0.256043956,0.075949367,0.928571429,0.686468647,0.0,0.088562387,0.093119349,POINT (-121.4003775 38.43569499),2.0
