N,idnum,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
1,3046,,-121.4283565,38.57491198,0.147942108,0.159464197,0.193187141,1,1,1,0.500593446,0.015822785,0.458860759,0.003164557,0.41025641,0,0.047468354,0.079113924,0.240506329,0.484177215,0.781318681,0.060126582,0.606441872,0.051705171,0.562700642,0.313493829,0.331438359,0.606441872,0.190115785
3,3045,,-121.4375943,38.57480266,0.004357366,0.024807227,0.052707781,1,1,1,0.081872374,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.871428571,0.107594937,0.406139909,0.481848185,0.581861958,0.326389238,0.335303461,0.406139909,0.132559696
4,3044,,-121.4468321,38.57469264,0.222977076,0.231896005,0.266579852,1,1,1,0.721452933,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.401098901,0.107594937,0.610468042,0.680968097,0.519361958,0.362711645,0.369976737,0.610468042,0.221423868
6,3094,,-121.4469731,38.58192472,0.228532525,0.236435356,0.230806563,1,1,1,0.695774444,0.253164557,0.300632911,0.17721519,0.759615385,0.015822785,0.079113924,0.094936709,0.063291139,0.528481013,0.783516484,0.018987342,0.472571716,0.641364136,0.656099518,0.377729271,0.392005622,0.472571716,0.17850417
7,3043,,-121.4560698,38.57458191,0.122449793,0.128789802,0.130313155,1,1,1,0.381552749,0.253164557,0.300632911,0.17721519,0.759615385,0.015822785,0.079113924,0.094936709,0.063291139,0.528481013,0.852747253,0.018987342,0.90437846,0.276127613,0.672050562,0.328511843,0.34273721,0.90437846,0.297099035
8,3092,,-121.4654503,38.58170254,0.244140265,0.258741302,0.27208395,1,1,1,0.774965518,0.550632911,0.53164557,0.139240506,0.817307692,0.484177215,0.357594937,0.417721519,0.344936709,0.75,0.921978022,0.373417722,0.28283845,0.883388339,0,0.544431956,0.53747398,0.3,0.163329587
9,3091,,-121.4746889,38.5815904,0.101275088,0.12388563,0.114672455,1,1,1,0.339833173,0.550632911,0.53164557,0.139240506,0.817307692,0.484177215,0.357594937,0.417721519,0.344936709,0.75,0.906593407,0.373417722,0.39859084,0.465346535,0.881420546,0.557287466,0.560392856,0.39859084,0.222129679
11,3090,,-121.4839274,38.58147754,0.061321872,0.061785464,0.077025714,0.75,0.25,1,0.20013305,0.699367089,0.452531646,0.066455696,0.951923077,0.958860759,0.534810127,0.810126582,0.053797468,0.971518987,0.787912088,0.857594937,0.267740312,0.738173817,0.876304173,0.66539983,0.63972582,0.3,0.199619949
12,3088,,-121.5024044,38.58124973,0.048140196,0.067280918,0.06444452,1,1,1,0.179865634,0.594936709,0.189873418,0.607594937,0.980769231,0.930379747,0.848101266,0.962025316,0.996835443,1,0.00989011,0.949367089,0.072974333,0.98239824,0,0.615395804,0.583688342,0.3,0.184618741
13,3038,,-121.502258,38.57401771,0.04163976,0.054419954,0.067716621,0.25,0.75,1,0.163776335,0.126582278,0.028481013,0.601265823,0.974358974,0.962025316,0.212025316,0.433544304,0.25,0.924050633,0.425274725,0.585443038,0.408152994,0.875687569,0,0.420836103,0.390599877,0.408152994,0.171765516
14,3089,,-121.4931659,38.58136399,0.075431686,0.082741233,0.075670093,1,1,0.75,0.233843013,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.559340659,0.78164557,0.312531454,1,0.27633427,0.561040375,0.544474277,0.312531454,0.175342764
15,3040,,-121.4837828,38.57424551,0.070037351,0.081079283,0.086910171,1,1,1,0.238026804,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.404395604,0.78164557,0.462506291,0.97469747,0.409911717,0.57301694,0.554488376,0.462506291,0.26502394
16,3039,,-121.4930204,38.57413196,0.070155891,0.091170567,0.108206129,1,1,0.75,0.269532588,0.259493671,0.436708861,0.07278481,0.644230769,0.392405063,0.617088608,0.601265823,0.829113924,0.987341772,0.387912088,0.443037975,0.614997484,0.96589659,0,0.534958184,0.520447211,0.614997484,0.328997937
17,2989,,-121.4744015,38.56712631,0.05774626,0.070251746,0.115299531,1,1,1,0.243297537,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.99010989,0.560126582,0.548565677,0.9669967,0.938653692,0.63945927,0.632574245,0.548565677,0.350785408
19,3042,,-121.4653075,38.57447048,0.077148683,0.102948121,0.127863831,0.5,1,1,0.307960636,0.110759494,0.231012658,0.212025316,0.794871795,0.585443038,0.32278481,0.655063291,0.768987342,0.990506329,0.225274725,0.446202532,0.209864117,0.98019802,0.332714687,0.519899412,0.503285685,0.3,0.155969824
20,3041,,-121.4745452,38.57435835,0.085222447,0.101345505,0.106433717,1,1,1,0.293001669,0.110759494,0.231012658,0.212025316,0.794871795,0.585443038,0.32278481,0.655063291,0.768987342,0.990506329,0.179120879,0.446202532,0.287367891,0.836083608,0.299458266,0.49901646,0.482457269,0.3,0.149704938
21,2991,,-121.4559279,38.56734986,0.171105403,0.188882192,0.200043054,0.25,1,1,0.56003065,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.635164835,0.132911392,0.393558128,0.943894389,0.631520867,0.475059999,0.47362285,0.393558128,0.186963724
22,2990,,-121.4651647,38.56723844,0.085713794,0.186338672,0.174197326,0.25,0.25,0.25,0.446249793,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.371428571,0.132911392,0.29894313,0.895489549,0.67867175,0.456706889,0.448616459,0.3,0.137012067
24,2992,,-121.4466911,38.56746057,0.081274744,0.098886547,0.156679179,1,1,1,0.336840471,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.417582418,0.167721519,0.779567187,0.589658966,0.40625,0.32873798,0.320761794,0.779567187,0.256273342
25,2993,,-121.4374543,38.56757058,0.141416864,0.164523725,0.19331035,1,1,1,0.49925094,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.771428571,0.167721519,0.641670861,0.784378438,0.607744783,0.403103475,0.405270702,0.641670861,0.258659753
26,2890,,-121.4279391,38.55321574,0.03658683,0.035783528,0.040255662,1,1,1,0.112626019,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.863736264,0.167721519,0.549068948,0.884488449,0.39747191,0.337708474,0.334384095,0.549068948,0.185425237
27,2941,,-121.4373142,38.56033851,0.136722477,0.219248354,0.224310193,0.25,0.25,0.5,0.580281024,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.9,0.167721519,0.401107197,0.845984598,0.427367576,0.40917614,0.411375776,0.401107197,0.164123495
28,2940,,-121.4465502,38.56022851,0.09680239,0.095732363,0.148519482,0.5,0.25,0.25,0.341054235,0.294303797,0.911392405,0.028481013,0.326923077,0.202531646,0.107594937,0.120253165,0.018987342,0.186708861,0.498901099,0.167721519,0.693507801,0.655665567,0.464787319,0.36243827,0.354151437,0.693507801,0.251353768
29,2939,,-121.4557861,38.56011781,0.04927447,0.113593252,0.120072791,1,1,0.25,0.282940514,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.715384615,0.550632911,0.758429794,0.381738174,0,0.509724332,0.477595813,0.758429794,0.38659012
