N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment,composite_cost_adjustment,dropoff_cost_adjustment,dropbox_cost_adjustment
19,6.07e+13,60670015003,6067001500,3002,-121.4671553,38.56446118,6,67,1500,3022,6.07e+13,Block 3022,G5040,U,77068.0,U,S,47852,0,38.564328,-121.467421,6.07e+13,6.07e+13,6.07e+13,60670015003,60670015003,60670015003,0.081066571,0.095999321,0.099659479,0.25,0.25,0.25,0.276725371,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.371428571,0.132911392,0.298901099,0.895489549,0.0,0.10869356,0.116668243,POINT (-121.4671553 38.56446118),1.25,1.25,2.0,
100,6.07e+13,60670040014,6067004001,2387,-121.5114955,38.48474027,6,67,4001,4026,6.07e+13,Block 4026,G5040,U,77068.0,U,S,38418,0,38.4852562,-121.5116862,6.07e+13,6.07e+13,6.07e+13,60670040014,60670040014,60670040014,0.309787586,0.314360267,0.338288477,1.0,1.0,1.0,0.96243633,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.104395604,0.123417722,0.649450549,0.654565457,0.0,0.16827083,0.175675894,POINT (-121.5114955 38.48474027),0.75,0.75,1.0,
226,6.07e+13,60670054042,6067005404,3063,-121.3845741,38.57263139,6,67,5404,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,99933,0,38.572672,-121.3841813,6.07e+13,6.07e+13,6.07e+13,60670054042,60670054042,60670056061,0.168855637,0.190542787,0.575790627,1.0,1.0,1.0,0.269548818,0.088607595,0.867088608,0.417721519,0.141025641,0.886075949,0.069620253,0.335443038,0.060126582,0.329113924,0.082417582,0.139240506,0.374725275,0.653465347,0.30863764,0.120837947,0.129192377,POINT (-121.3845741 38.57263139),1.25,1.25,1.25,
376,6.07e+13,60670070191,6067007019,3524,-121.5053764,38.63597081,6,67,7019,1077,6.07e+13,Block 1077,G5040,U,77068.0,U,S,241364,0,38.6350546,-121.5050261,6.07e+13,6.07e+13,6.07e+13,60670070191,60670070191,60670070191,0.144148969,0.151600578,0.297807237,1.0,1.0,1.0,0.593556784,0.506329114,0.003164557,0.680379747,0.721153846,0.740506329,0.664556962,0.876582278,0.870253165,0.914556962,0.984615385,0.835443038,0.10989011,0.99339934,0.0,0.188871888,0.23899847,POINT (-121.5053764 38.63597081),0.75,0.75,0.5,
448,6.07e+13,60670074133,6067007413,3537,-121.3857833,38.63739732,6,67,7413,3075,6.07e+13,Block 3075,G5040,U,77068.0,U,S,7725,0,38.6382884,-121.3848424,6.07e+13,6.07e+13,6.07e+13,60670074133,60670074133,60670074133,0.121689954,0.170297904,0.149198409,1.0,1.0,1.0,0.441186268,0.588607595,0.588607595,0.553797468,0.679487179,0.664556962,0.810126582,0.816455696,0.96835443,0.702531646,0.252747253,0.731012658,0.17032967,0.910891089,0.0,0.176548894,0.220409654,POINT (-121.3857833 38.63739732),0.75,0.75,0.75,
472,6.07e+13,60670074293,6067007429,4005,-121.3592395,38.69528054,6,67,7429,3008,6.07e+13,Block 3008,G5040,U,77068.0,U,S,20921,0,38.6955202,-121.3589904,6.07e+13,6.07e+13,6.07e+13,60670074293,60670074293,60670074293,0.072734851,0.093831762,0.105084228,1.0,1.0,1.0,0.271650841,0.768987342,0.506329114,0.661392405,0.455128205,0.908227848,0.67721519,0.689873418,0.512658228,0.686708861,0.745054945,0.96835443,0.321978022,0.628162816,0.76078451,0.202546529,0.260647795,POINT (-121.3592395 38.69528054),0.5,0.5,0.5,
522,6.07e+13,60670079052,6067007905,3602,-121.3123127,38.64541287,6,67,7905,2010,6.07e+13,Block 2010,G5040,U,77068.0,U,S,142764,0,38.6427419,-121.3112493,6.07e+13,6.07e+13,6.07e+13,60670079052,60670079061,60670079061,0.251788912,0.267362569,0.357260936,0.25,0.25,0.25,0.876412417,0.069620253,0.648734177,0.300632911,0.977564103,0.189873418,0.167721519,0.25,0.569620253,0.746835443,0.217582418,0.313291139,0.923076923,0.397139714,0.312600321,0.130764362,0.149561831,POINT (-121.3123127 38.64541287),1.25,1.25,1.25,
548,6.07e+13,60670081113,6067008111,4012,-121.2947909,38.69598568,6,67,8111,3015,6.07e+13,Block 3015,G5040,U,77068.0,U,S,17296,0,38.6950732,-121.294986,6.07e+13,6.07e+13,6.07e+13,60670081113,60670081113,60670081112,0.176363438,0.190618677,0.218183886,1.0,1.0,1.0,0.585166,0.174050633,0.911392405,0.297468354,0.157051282,0.917721519,0.360759494,0.208860759,0.57278481,0.243670886,0.73956044,0.471518987,0.674725275,0.075907591,0.59961878,0.133141744,0.161432884,POINT (-121.2947909 38.69598568),1.25,1.25,1.25,
620,6.07e+13,60670082041,6067008204,3842,-121.2299826,38.67506702,6,67,8204,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,32366,0,38.6748375,-121.2286219,6.07e+13,6.07e+13,6.07e+13,60670082041,60670082041,60670082041,0.225207134,0.247154971,0.309232091,0.25,0.25,1.0,0.781594196,0.164556962,0.610759494,0.094936709,0.522435897,0.363924051,0.113924051,0.227848101,0.734177215,0.651898734,0.33956044,0.164556962,0.924175824,0.752475248,0.468047753,0.13994422,0.149817638,POINT (-121.2299826 38.67506702),1.0,1.0,1.25,
678,6.07e+13,60670085062,6067008506,3852,-121.1379363,38.67596576,6,67,8506,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,413423,0,38.6728757,-121.1426985,6.07e+13,6.07e+13,6.07e+13,60670084023,60670085013,60670085013,0.054792945,0.115849361,0.240802059,0.25,0.25,1.0,0.411444365,0.050632911,0.085443038,0.905063291,0.669871795,0.212025316,0.389240506,0.189873418,0.079113924,0.863924051,0.030769231,0.971518987,0.048351648,0.907590759,0.450943018,0.081888441,0.14017958,POINT (-121.1379363 38.67596576),2.0,2.0,1.25,
