N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment
2,6.07e+13,60670002002,6067000200,3057,-121.4397233,38.57198824,6,67,200,2005,6.07e+13,Block 2005,G5040,U,77068.0,U,S,133251,0,38.5718764,-121.4382299,6.07e+13,6.07e+13,6.07e+13,60670002002,60670002002,60670002002,0.062736035,0.064866425,0.096359979,1.0,1.0,1.0,0.223962438,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.589010989,0.107594937,0.563736264,0.938393839,0.320024077,0.075406454,0.081862151,POINT (-121.4397233 38.57198824),2.0
16,6.07e+13,60670013003,6067001300,3053,-121.4764889,38.57154551,6,67,1300,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,8311,0,38.5718332,-121.476788,6.07e+13,6.07e+13,6.07e+13,60670013003,60670013003,60670014003,0.120528094,0.204953475,0.197295717,1.0,1.0,1.0,0.522777286,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.868131868,0.560126582,0.737362637,0.902090209,0.990720305,0.205064543,0.238672138,POINT (-121.4764889 38.57154551),0.5
31,6.07e+13,60670018003,6067001800,2897,-121.4668709,38.55006909,6,67,1800,3027,6.07e+13,Block 3027,G5040,U,77068.0,U,S,7017,0,38.5503352,-121.4667872,6.07e+13,6.07e+13,6.07e+13,60670018003,60670018003,60670027003,0.036536416,0.059950489,0.097401507,1.0,1.0,1.0,0.193888411,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.689010989,0.46835443,0.083516484,0.429042904,0.694121188,0.108492002,0.136593267,POINT (-121.4668709 38.55006909),1.25
39,6.07e+13,60670022001,6067002200,2946,-121.5037712,38.55681413,6,67,2200,1008,6.07e+13,Block 1008,G5040,U,77068.0,U,S,22652,0,38.5572961,-121.5050185,6.07e+13,6.07e+13,6.07e+13,60670022003,60670022001,60670022001,0.089492809,0.101180772,0.105571093,1.0,1.0,1.0,0.296244674,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.645054945,0.227848101,0.408791209,0.572057206,0.493780096,0.20604646,0.219717346,POINT (-121.5037712 38.55681413),0.5
83,6.07e+13,60670035021,6067003502,2736,-121.4848165,38.52825702,6,67,3502,1002,6.07e+13,Block 1002,G5040,U,77068.0,U,S,36767,0,38.5278362,-121.4853904,6.07e+13,6.07e+13,6.07e+13,60670035011,60670035021,60670035021,0.241504131,0.245449782,0.251243345,1.0,1.0,1.0,0.738197258,0.71835443,0.167721519,0.712025316,0.307692308,0.161392405,0.85443038,0.408227848,0.727848101,0.496835443,0.594505495,0.265822785,0.638461538,0.601760176,0.531651284,0.1453963,0.161345667,POINT (-121.4848165 38.52825702),1.0
107,6.07e+13,60670040052,6067004005,2562,-121.5303011,38.50609705,6,67,4005,2012,6.07e+13,Block 2012,G5040,U,77068.0,U,S,20506,0,38.5066825,-121.5291382,6.07e+13,6.07e+13,6.07e+13,60670040052,60670040053,60670040052,0.016490306,0.021241988,0.115269475,1.0,1.0,1.0,0.153001768,0.189873418,0.620253165,0.835443038,,0.563291139,0.525316456,0.265822785,0.224683544,0.699367089,0.289010989,0.151898734,0.876923077,0.674367437,0.544793339,0.15571665,0.164830574,POINT (-121.5303011 38.50609705),1.0
117,6.07e+13,60670040103,6067004010,2385,-121.5298566,38.48450941,6,67,4010,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,110729,0,38.4846047,-121.5267158,6.07e+13,6.07e+13,6.07e+13,60670040103,60670040103,60670040111,0.081805842,0.129534327,0.203552777,1.0,1.0,1.0,0.414892946,0.129746835,0.753164557,0.743670886,0.051282051,0.319620253,0.275316456,0.319620253,0.981012658,0.727848101,0.70989011,0.484177215,0.458241758,0.789878988,0.666131621,0.117304632,0.146355265,POINT (-121.5298566 38.48450941),1.25
129,6.07e+13,60670042023,6067004202,2390,-121.4839537,38.48508133,6,67,4202,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,29335,0,38.4854222,-121.4834016,6.07e+13,6.07e+13,6.07e+13,60670042023,60670042023,60670042023,0.192608937,0.203464031,0.21954862,1.0,1.0,1.0,0.615621588,0.898734177,0.594936709,0.791139241,0.208333333,0.905063291,0.879746835,0.64556962,0.53164557,0.813291139,0.949450549,0.658227848,0.381318681,0.724972497,0.287971509,0.218638615,0.258132285,POINT (-121.4839537 38.48508133),0.5
150,6.07e+13,60670046015,6067004601,2631,-121.4386074,38.51441979,6,67,4601,5000,6.07e+13,Block 5000,G5040,U,77068.0,U,S,77943,0,38.5147772,-121.4398799,6.07e+13,6.07e+13,6.07e+13,60670046015,60670046015,60670046014,0.071810789,0.139483163,0.163104503,1.0,1.0,1.0,0.374398455,0.867088608,0.844936709,0.632911392,0.064102564,0.870253165,0.829113924,0.971518987,0.594936709,0.882911392,0.506593407,0.965189873,0.524175824,0.95269527,0.0,0.246956879,0.304868271,POINT (-121.4386074 38.51441979),0.5
171,6.07e+13,60670049043,6067004904,2394,-121.4472309,38.48552631,6,67,4904,3008,6.07e+13,Block 3008,G5040,U,77068.0,U,S,10370,0,38.4850419,-121.4469779,6.07e+13,6.07e+13,6.07e+13,60670049043,60670049043,60670049043,0.073199011,0.132782346,0.112087776,1.0,1.0,1.0,0.318069132,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.542857143,0.553797468,0.423076923,0.234323432,0.477176966,0.152409932,0.18563778,POINT (-121.4472309 38.48552631),1.0
