N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment
2,6.07e+13,60670002002,6067000200,3057,-121.4397233,38.57198824,6,67,200,2005,6.07e+13,Block 2005,G5040,U,77068.0,U,S,133251,0,38.5718764,-121.4382299,6.07e+13,6.07e+13,6.07e+13,60670002002,60670002002,60670002002,0.062736035,0.064866425,0.096359979,1.0,1.0,1.0,0.223962438,0.306962025,0.490506329,0.098101266,0.368589744,0.009493671,0.03164557,0.041139241,0.310126582,0.335443038,0.589010989,0.107594937,0.563736264,0.938393839,0.320024077,0.075406454,0.081862151,POINT (-121.4397233 38.57198824),2.0
12,6.07e+13,60670011011,6067001101,3103,-121.4858243,38.57862914,6,67,1101,1036,6.07e+13,Block 1036,G5040,U,77068.0,U,S,15618,0,38.5788332,-121.4856425,6.07e+13,6.07e+13,6.07e+13,60670011011,60670011011,60670011011,0.064049681,0.081081864,0.082909918,1.0,1.0,1.0,0.228041463,0.272151899,0.132911392,0.28164557,0.855769231,0.329113924,0.224683544,0.901898734,0.984177215,0.993670886,0.559340659,0.78164557,0.327472527,1.0,0.0,0.169458478,0.216357212,POINT (-121.4858243 38.57862914),0.75
18,6.07e+13,60670015002,6067001500,3003,-121.4579648,38.5645722,6,67,1500,2006,6.07e+13,Block 2006,G5040,U,77068.0,U,S,13648,0,38.564265,-121.4582471,6.07e+13,6.07e+13,6.07e+13,60670015002,60670015002,60670015002,0.063659899,0.088479318,0.179194264,0.25,0.25,0.25,0.331333481,0.161392405,0.759493671,0.129746835,0.615384615,0.680379747,0.174050633,0.088607595,0.189873418,0.582278481,0.531868132,0.132911392,0.71978022,0.336633663,0.518007624,0.133946307,0.14192099,POINT (-121.4579648 38.5645722),1.25
27,6.07e+13,60670017003,6067001700,2900,-121.4393046,38.55039999,6,67,1700,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,265596,0,38.5496552,-121.4442209,6.07e+13,6.07e+13,6.07e+13,60670017002,60670017004,60670017002,0.147729315,0.155528571,0.217191562,0.25,0.25,0.25,0.520449448,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.09010989,0.550632911,0.105494505,0.99669967,0.450943018,0.167911949,0.200949923,POINT (-121.4393046 38.55039999),0.75
31,6.07e+13,60670018003,6067001800,2897,-121.4668709,38.55006909,6,67,1800,3027,6.07e+13,Block 3027,G5040,U,77068.0,U,S,7017,0,38.5503352,-121.4667872,6.07e+13,6.07e+13,6.07e+13,60670018003,60670018003,60670027003,0.036536416,0.059950489,0.097401507,1.0,1.0,1.0,0.193888411,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.689010989,0.46835443,0.083516484,0.429042904,0.694121188,0.108492002,0.136593267,POINT (-121.4668709 38.55006909),1.25
43,6.07e+13,60670024001,6067002400,2893,-121.5036254,38.54961813,6,67,2400,1014,6.07e+13,Block 1014,G5040,U,77068.0,U,S,63426,0,38.5494095,-121.5025041,6.07e+13,6.07e+13,6.07e+13,60670024001,60670024001,60670024001,0.145589563,0.127815325,0.150560943,1.0,1.0,1.0,0.423965832,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.221978022,0.015822785,0.887912088,0.529152915,0.529995987,0.102262067,0.103211434,POINT (-121.5036254 38.54961813),2.0
64,6.07e+13,60670031013,6067003101,2743,-121.420514,38.52902889,6,67,3101,3007,6.07e+13,Block 3007,G5040,U,77068.0,U,S,23898,0,38.5286702,-121.4200893,6.07e+13,6.07e+13,6.07e+13,60670031013,60670031014,60670031014,0.203560847,0.237084763,0.241132618,0.25,0.25,0.25,0.681778228,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.723076923,0.629746835,0.134065934,0.0110011,0.748796148,0.168486994,0.206271804,POINT (-121.420514 38.52902889),0.75
76,6.07e+13,60670033003,6067003300,2733,-121.5123743,38.52791576,6,67,3300,3013,6.07e+13,Block 3013,G5040,U,77068.0,U,S,16679,0,38.5273756,-121.5120616,6.07e+13,6.07e+13,6.07e+13,60670033003,60670033003,60670033003,0.104040633,0.126705846,0.124142349,1.0,1.0,1.0,0.354888828,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.350549451,0.044303797,0.902197802,0.529152915,0.39065008,0.104638197,0.107296425,POINT (-121.5123743 38.52791576),2.0
83,6.07e+13,60670035021,6067003502,2736,-121.4848165,38.52825702,6,67,3502,1002,6.07e+13,Block 1002,G5040,U,77068.0,U,S,36767,0,38.5278362,-121.4853904,6.07e+13,6.07e+13,6.07e+13,60670035011,60670035021,60670035021,0.241504131,0.245449782,0.251243345,1.0,1.0,1.0,0.738197258,0.71835443,0.167721519,0.712025316,0.307692308,0.161392405,0.85443038,0.408227848,0.727848101,0.496835443,0.594505495,0.265822785,0.638461538,0.601760176,0.531651284,0.1453963,0.161345667,POINT (-121.4848165 38.52825702),1.0
107,6.07e+13,60670040052,6067004005,2562,-121.5303011,38.50609705,6,67,4005,2012,6.07e+13,Block 2012,G5040,U,77068.0,U,S,20506,0,38.5066825,-121.5291382,6.07e+13,6.07e+13,6.07e+13,60670040052,60670040053,60670040052,0.016490306,0.021241988,0.115269475,1.0,1.0,1.0,0.153001768,0.189873418,0.620253165,0.835443038,,0.563291139,0.525316456,0.265822785,0.224683544,0.699367089,0.289010989,0.151898734,0.876923077,0.674367437,0.544793339,0.15571665,0.164830574,POINT (-121.5303011 38.50609705),1.0
