AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FAKE_POP
1400000US06067000300,6067000300,3,CT,1427327,2502,570930.8
1400000US06067000500,6067000500,5,CT,866054,0,346421.6
1400000US06067002500,6067002500,25,CT,984312,0,393724.8
1400000US06067003204,6067003204,32.04,CT,1599411,0,639764.4
1400000US06067004100,6067004100,41,CT,2033367,0,813346.8
1400000US06067004402,6067004402,44.02,CT,1240513,0,496205.2
1400000US06067004802,6067004802,48.02,CT,1423403,0,569361.2
1400000US06067005002,6067005002,50.02,CT,3064830,0,1225932
1400000US06067005202,6067005202,52.02,CT,1759096,113923,703638.4
1400000US06067005801,6067005801,58.01,CT,2640616,0,1056246.4
1400000US06067006003,6067006003,60.03,CT,1545797,0,618318.8
1400000US06067007011,6067007011,70.11,CT,1946694,0,778677.6
1400000US06067007106,6067007106,71.06,CT,6366005,81568,2546402
1400000US06067007416,6067007416,74.16,CT,1188886,0,475554.4
1400000US06067007432,6067007432,74.32,CT,1114431,0,445772.4
1400000US06067007905,6067007905,79.05,CT,2442978,0,977191.2
1400000US06067008122,6067008122,81.22,CT,2504777,0,1001910.8
1400000US06067008139,6067008139,81.39,CT,1335346,0,534138.4
1400000US06067008404,6067008404,84.04,CT,2742337,279526,1096934.8
1400000US06067008910,6067008910,89.1,CT,1675464,19474,670185.6
1400000US06067009008,6067009008,90.08,CT,1593240,0,637296
1400000US06067009107,6067009107,91.07,CT,2045593,367926,818237.2
1400000US06067009110,6067009110,91.1,CT,605887,0,242354.8
1400000US06067009328,6067009328,93.28,CT,3193246,0,1277298.4
1400000US06067009504,6067009504,95.04,CT,2226572,0,890628.8
1400000US06067009633,6067009633,96.33,CT,703931,0,281572.4
1400000US06067000400,6067000400,4,CT,975600,0,390240
1400000US06067000700,6067000700,7,CT,471398,42394,188559.2
1400000US06067001600,6067001600,16,CT,3048885,0,1219554
1400000US06067002300,6067002300,23,CT,1213095,0,485238
1400000US06067003203,6067003203,32.03,CT,985428,0,394171.2
1400000US06067003502,6067003502,35.02,CT,1260333,0,504133.2
1400000US06067004008,6067004008,40.08,CT,1580373,75337,632149.2
1400000US06067005101,6067005101,51.01,CT,2044251,0,817700.4
1400000US06067005502,6067005502,55.02,CT,2868041,0,1147216.4
1400000US06067005605,6067005605,56.05,CT,1285817,0,514326.8
1400000US06067005903,6067005903,59.03,CT,653849,0,261539.6
1400000US06067006004,6067006004,60.04,CT,1296274,0,518509.6
1400000US06067006600,6067006600,66,CT,2211010,0,884404
1400000US06067007010,6067007010,70.1,CT,2422507,233845,969002.8
1400000US06067007018,6067007018,70.18,CT,4834060,0,1933624
1400000US06067007105,6067007105,71.05,CT,1975503,55441,790201.2
1400000US06067007208,6067007208,72.08,CT,7582517,0,3033006.8
1400000US06067007414,6067007414,74.14,CT,1437532,0,575012.8
1400000US06067007422,6067007422,74.22,CT,975469,0,390187.6
1400000US06067007429,6067007429,74.29,CT,999191,0,399676.4
1400000US06067007602,6067007602,76.02,CT,2489907,0,995962.8
1400000US06067008006,6067008006,80.06,CT,5411143,80704,2164457.2
1400000US06067008111,6067008111,81.11,CT,2828352,0,1131340.8
1400000US06067008128,6067008128,81.28,CT,1004285,0,401714
1400000US06067008137,6067008137,81.37,CT,1087444,0,434977.6
1400000US06067008140,6067008140,81.4,CT,1642161,0,656864.4
1400000US06067008204,6067008204,82.04,CT,2597925,0,1039170
1400000US06067008403,6067008403,84.03,CT,2969602,7439,1187840.8
1400000US06067008509,6067008509,85.09,CT,2199638,0,879855.2
1400000US06067008704,6067008704,87.04,CT,2148349,0,859339.6
1400000US06067009307,6067009307,93.07,CT,2589505,0,1035802
1400000US06067009311,6067009311,93.11,CT,6301868,0,2520747.2
1400000US06067009321,6067009321,93.21,CT,1783106,0,713242.4
1400000US06067009329,6067009329,93.29,CT,2002886,0,801154.4
1400000US06067009332,6067009332,93.32,CT,7870045,0,3148018
1400000US06067009609,6067009609,96.09,CT,1445156,0,578062.4
1400000US06067009622,6067009622,96.22,CT,3003305,0,1201322
1400000US06067001500,6067001500,15,CT,1746202,0,698480.8
