"","three_day_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score","quadrant"
"493",493,60670098001111,60670098001,6067009800,-121.609991028571,38.1115795875,6,67,9800,1111,60670098001111,"Block 1111","G5040","R",NA,NA,"S",9135542,0,38.1224476,-121.6053382,60670098001112,60670098001115,60670098001025,60670098001,60670098001,60670098001,25.605936671452,25.6132113739595,25.6844508871285,0.5,0.5,0.5,0,0.746835443037975,0.0379746835443038,0.718354430379747,0.598101265822785,0.29746835443038,0.411392405063291,0.626582278481013,0.981012658227848,0.348101265822785,0.472527472527473,0.563291139240506,0.534883720930233,0.465346534653465,0.236556982343499,0.00478758252280401,0.00478758252280401,0.40257192210446,0.403298156924538,0.534883720930233,0.21532916763727,1
"490",490,60670098001099,60670098001,6067009800,-121.764353542857,38.0523533958333,6,67,9800,1099,60670098001099,"Block 1099","G5040","R",NA,NA,"S",11196429,0,38.0618169,-121.7562347,60670098001098,60670098001099,60670098001109,60670098001,60670098001,60670098001,23.9439882089244,23.855748720033,24.0596946506432,1,1,1,0,0.746835443037975,0.0379746835443038,0.718354430379747,0.598101265822785,0.29746835443038,0.411392405063291,0.626582278481013,0.981012658227848,0.348101265822785,0.472527472527473,0.563291139240506,0.534883720930233,0.465346534653465,0.229885634028892,0.00730736279796402,0.00730736279796402,0.402195960716945,0.402788508360275,0.534883720930233,0.215128072011389,1
"475",475,60670096381054,60670096381,6067009638,-121.4363332,38.3040647104167,6,67,9638,1054,60670096381054,"Block 1054","G5040","R",NA,NA,"S",3932550,0,38.2997531,-121.4309081,60670096381054,60670096381052,60670096381047,60670096381,60670096381,60670096381,10.1584368404888,10.2822202514669,10.3023959459282,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.285162520064205,0.00856725293554402,0.00856725293554402,0.486787952881316,0.436257923798056,0.910852713178295,0.443392127624454,2
"462",462,60670096381004,60670096381,6067009638,-121.417037885714,38.4077105458333,6,67,9638,1004,60670096381004,"Block 1004","G5040","R",NA,NA,"S",2636945,0,38.4019031,-121.3968656,60670096121020,60670096323000,60670096121021,60670096121,60670096323,60670096121,2.93982297837315,3.14965800722252,3.17508688192655,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.236556982343499,0.0494380889986393,0.0494380889986393,0.485656836837669,0.433951797279929,0.910852713178295,0.442361847507179,2
"480",480,60670096381078,60670096381,6067009638,-121.397742571429,38.3929039979167,6,67,9638,1078,60670096381078,"Block 1078","G5040","R",NA,NA,"S",1296215,0,38.3925537,-121.3989628,60670096381078,60670096381014,60670096381030,60670096381,60670096381,60670096381,4.11045640529225,4.31951755868717,4.41368309329289,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.243529293739968,0.0399133195585345,0.0399133195585345,0.485557522113081,0.434053730329569,0.910852713178295,0.44227138642083,2
"481",481,60670096381078,60670096381,6067009638,-121.417037885714,38.3929039979167,6,67,9638,1078,60670096381078,"Block 1078","G5040","R",NA,NA,"S",1296215,0,38.3925537,-121.3989628,60670096371000,60670096381026,60670096323014,60670096371,60670096381,60670096323,3.96392139631963,4.17364883924957,4.16360954494654,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.243529293739968,0.0399133195585345,0.0399133195585345,0.485557522113081,0.434053730329569,0.910852713178295,0.44227138642083,2
"464",464,60670096381031,60670096381,6067009638,-121.417037885714,38.37809745,6,67,9638,1031,60670096381031,"Block 1031","G5040","R",NA,NA,"S",953158,0,38.3767547,-121.4090819,60670096373005,60670096373008,60670096373007,60670096373,60670096373,60670096373,4.98805304113027,5.19771395095257,5.18030291890899,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.229885634028892,0.0310940885954745,0.0310940885954745,0.483790605401702,0.432138162423271,0.910852713178295,0.44066198554031,2
"460",460,60670096381003,60670096381,6067009638,-121.378447257143,38.3929039979167,6,67,9638,1003,60670096381003,"Block 1003","G5040","R",NA,NA,"S",4954836,0,38.3850687,-121.3952771,60670093092008,60670093092000,60670093092002,60670093092,60670093092,60670093092,4.64096592618326,4.63948941648136,4.50175990415476,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.246087479935795,0.00902081338507282,0.00902081338507282,0.483564096712248,0.432378767313311,0.910852713178295,0.440455669485962,2
"461",461,60670096381003,60670096381,6067009638,-121.397742571429,38.37809745,6,67,9638,1003,60670096381003,"Block 1003","G5040","R",NA,NA,"S",4954836,0,38.3850687,-121.3952771,60670096381003,60670096381032,60670096381031,60670096381,60670096381,60670096381,5.10530063041361,5.3155781808421,5.34567039477415,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.246087479935795,0.00902081338507282,0.00902081338507282,0.483564096712248,0.432378767313311,0.910852713178295,0.440455669485962,2
"108",108,60670071041007,60670071041,6067007104,-121.513514457143,38.6742284083333,6,67,7104,1007,60670071041007,"Block 1007","G5040","U",77068,"U","S",48558,0,38.6761708,-121.5145485,60670071041009,60670071041004,60670071041047,60670071041,60670071041,60670071041,0.194963969214325,0.221246261737161,0.28587009530182,0.75,1,1,0.702080326253307,0.604430379746835,0.920886075949367,0.762658227848101,0.876582278481013,0.104430379746835,0.515822784810127,0.0854430379746835,0.19620253164557,0.0284810126582279,0.527472527472527,0.20253164556962,0.996124031007752,0.492849284928493,0.917335473515249,0.553646122058157,0.553646122058157,0.454418033133814,0.472934985534192,0.996124031007752,0.452656722927869,3
