"","top_points_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score"
"93",93,60670070182002,60670070182,6067007018,-121.513514457143,38.6446153125,6,67,7018,2002,60670070182002,"Block 2002","G5040","U",77068,"U","S",61997,0,38.6441624,-121.5132642,60670070182002,60670070182003,60670070182005,60670070182,60670070182,60670070182,0.260830273577022,0.335284306395002,0.32171937625855,1,1,1,0.917833956230574,0.360759493670886,0.579113924050633,0.958860759493671,0.844936708860759,0.55379746835443,0.588607594936709,0.136075949367089,0.20253164556962,0.626582278481013,0.245054945054945,0.873417721518987,0.868217054263566,0.830583058305831,0.969953852327448,0.496951065867056,0.496951065867056,0.572440207595829,0.570978259387925,0.868217054263566,0.497002350780874
"437",437,60670096013014,60670096013,6067009601,-121.455628514286,38.4669367375,6,67,9601,3014,60670096013014,"Block 3014","G5040","U",77068,"U","S",25593,0,38.467564,-121.4545504,60670096013012,60670096013013,60670096013014,60670096013,60670096013,60670096013,0.509745557488128,0.438558702629278,0.439849984876588,1,1,1,0.6588065156294,0.848101265822785,0.734177215189873,0.924050632911392,0.20253164556962,0.753164556962025,0.882911392405063,0.664556962025316,0.768987341772152,0.291139240506329,0.878021978021978,0.477848101265823,0.724806201550388,0.363036303630363,0.885834670947031,0.557576979287406,0.557576979287406,0.680206965962318,0.700556228920682,0.724806201550388,0.493018227267261
"116",116,60670072041014,60670072041,6067007204,-121.455628514286,38.6594218604167,6,67,7204,1014,60670072041014,"Block 1014","G5040","U",77068,"U","S",20287,0,38.6589774,-121.4557562,60670072041014,60670072041008,60670072041009,60670072041,60670072041,60670072041,0.422761724030565,0.424803053331908,0.434393642899627,1,1,1,1.2819584202621,0.756329113924051,0.443037974683544,0.588607594936709,0.319620253164557,0.658227848101266,0.70253164556962,0.392405063291139,0.322784810126582,0.158227848101266,0.852747252747253,0.360759493670886,0.85077519379845,0.792079207920792,0.486607142857143,0.106082749584236,0.106082749584236,0.570119764169915,0.593859758361094,0.85077519379845,0.485043752849986
"432",432,60670095022014,60670095022,6067009502,-121.320561314286,38.2596450666667,6,67,9502,2014,60670095022014,"Block 2014","G5040","U",32451,"C","S",43585,0,38.2593828,-121.3196033,60670095022016,60670095022014,60670095022015,60670095022,60670095022,60670095022,14.198020147874,14.3787860240829,14.3776100820073,1,1,1,0,0.914556962025316,0.949367088607595,0.00316455696202532,0.136075949367089,0.905063291139241,0.256329113924051,0.462025316455696,0.677215189873418,0.212025316455696,0.687912087912088,0.70253164556962,0.874031007751938,0.286028602860286,0.568268459069021,0.375094491760319,0.375094491760319,0.534175736788837,0.519390779757468,0.874031007751938,0.466886157542181
"85",85,60670070042008,60670070042,6067007004,-121.494219142857,38.6298087645833,6,67,7004,2008,60670070042008,"Block 2008","G5040","U",77068,"U","S",369528,0,38.6313709,-121.4957029,60670070042009,60670070042008,60670070042014,60670070042,60670070042,60670070042,0.166128308131765,0.184586619490759,0.225329442474506,1,1,1,0.57604437009703,0.968354430379747,0.863924050632911,0.474683544303797,0.386075949367089,0.943037974683544,0.75,0.762658227848101,0.386075949367089,0.575949367088608,0.825274725274725,0.806962025316456,0.736434108527132,0.465346534653465,0.26850922953451,0.0767021115758706,0.0767021115758706,0.633641669979787,0.622023847563504,0.736434108527132,0.466635338357208
"108",108,60670071041007,60670071041,6067007104,-121.513514457143,38.6742284083333,6,67,7104,1007,60670071041007,"Block 1007","G5040","U",77068,"U","S",48558,0,38.6761708,-121.5145485,60670071041009,60670071041004,60670071041047,60670071041,60670071041,60670071041,0.194963969214325,0.221246261737161,0.28587009530182,0.75,1,1,0.702080326253307,0.604430379746835,0.920886075949367,0.762658227848101,0.876582278481013,0.104430379746835,0.515822784810127,0.0854430379746835,0.19620253164557,0.0284810126582279,0.527472527472527,0.20253164556962,0.996124031007752,0.492849284928493,0.917335473515249,0.553646122058157,0.553646122058157,0.454418033133814,0.472934985534192,0.996124031007752,0.452656722927869
"475",475,60670096381054,60670096381,6067009638,-121.4363332,38.3040647104167,6,67,9638,1054,60670096381054,"Block 1054","G5040","R",NA,NA,"S",3932550,0,38.2997531,-121.4309081,60670096381054,60670096381052,60670096381047,60670096381,60670096381,60670096381,10.1584368404888,10.2822202514669,10.3023959459282,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.285162520064205,0.00856725293554402,0.00856725293554402,0.486787952881316,0.436257923798056,0.910852713178295,0.443392127624454
"462",462,60670096381004,60670096381,6067009638,-121.417037885714,38.4077105458333,6,67,9638,1004,60670096381004,"Block 1004","G5040","R",NA,NA,"S",2636945,0,38.4019031,-121.3968656,60670096121020,60670096323000,60670096121021,60670096121,60670096323,60670096121,2.93982297837315,3.14965800722252,3.17508688192655,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.236556982343499,0.0494380889986393,0.0494380889986393,0.485656836837669,0.433951797279929,0.910852713178295,0.442361847507179
"480",480,60670096381078,60670096381,6067009638,-121.397742571429,38.3929039979167,6,67,9638,1078,60670096381078,"Block 1078","G5040","R",NA,NA,"S",1296215,0,38.3925537,-121.3989628,60670096381078,60670096381014,60670096381030,60670096381,60670096381,60670096381,4.11045640529225,4.31951755868717,4.41368309329289,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.243529293739968,0.0399133195585345,0.0399133195585345,0.485557522113081,0.434053730329569,0.910852713178295,0.44227138642083
"481",481,60670096381078,60670096381,6067009638,-121.417037885714,38.3929039979167,6,67,9638,1078,60670096381078,"Block 1078","G5040","R",NA,NA,"S",1296215,0,38.3925537,-121.3989628,60670096371000,60670096381026,60670096323014,60670096371,60670096381,60670096323,3.96392139631963,4.17364883924957,4.16360954494654,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.243529293739968,0.0399133195585345,0.0399133195585345,0.485557522113081,0.434053730329569,0.910852713178295,0.44227138642083
